#    itr              mu            ntot            mtot            etot
       1       45.506836        5.700012        0.149926      109.795287
       2       21.900275        5.699524       -0.108518       64.482422
       3       21.844258        5.700134        0.080591       64.529145
       4       21.813699        5.700378       -0.062561       64.556988
       5       21.799504        5.699402        0.049561       64.548232
       6       21.779558        5.699890       -0.041107       64.551400
       7       21.773893        5.699402        0.036587       64.549848
       8       21.767956        5.699585       -0.032569       64.555331
       9       21.766806        5.699829        0.028178       64.559065
      10       21.770670        5.700317       -0.025596       64.571636
      11       21.769650        5.699097        0.022782       64.551892
      12       21.766045        5.699585       -0.020335       64.548146
      13       21.769873        5.700317        0.017550       64.571407
      14       21.768814        5.700806       -0.015246       64.589673
      15       21.770240        5.700317        0.013275       64.585953
      16       21.769199        5.699341       -0.011626       64.558965
      17       21.768109        5.699585        0.009903       64.552471
      18       21.766965        5.699097       -0.008895       64.545527
      19       21.768302        5.700317        0.007538       64.565338
      20       21.772239        5.700073       -0.005523       64.575892
      21       21.771294        5.700806        0.004380       64.588702
      22       21.775375        5.700562       -0.003708       64.591111
