#    itr              mu            ntot            mtot            etot
       1      -21.000000        3.000000        3.000000     -107.030000
       2       10.924000        1.899475       -1.899475        2.605292
       3        7.825000        1.899292        1.684814       -2.045127
       4        8.628000        1.899048       -1.638184       -0.363892
       5        8.812000        1.899048        1.626465       -0.006603
       6        8.860000        1.899292       -1.623291        0.085840
       7        8.876000        1.899780        1.622803        0.117686
       8        8.881000        1.899292       -1.622314        0.123341
       9        8.880000        1.899780        1.622803        0.125225
      10        8.881000        1.899292       -1.622314        0.123341
      11        8.880000        1.899780        1.622803        0.125225
      12        8.881000        1.899292       -1.622314        0.123341
      13        8.880000        1.899780        1.622803        0.125225
      14        8.881000        1.899292       -1.622314        0.123341
      15        8.880000        1.899780        1.622803        0.125225
      16        8.881000        1.899292       -1.622314        0.123341
      17        8.880000        1.899780        1.622803        0.125225
      18        8.881000        1.899292       -1.622314        0.123341
      19        8.880000        1.899780        1.622803        0.125225
      20        8.881000        1.899292       -1.622314        0.123341
      21        8.880000        1.899780        1.622803        0.125225
      22        8.881000        1.899292       -1.622314        0.123341
      23        8.880000        1.899780        1.622803        0.125225
      24        8.881000        1.899292       -1.622314        0.123341
      25        8.880000        1.899780        1.622803        0.125225
      26        8.881000        1.899292       -1.622314        0.123341
      27        8.880000        1.899780        1.622803        0.125225
      28        8.881000        1.899292       -1.622314        0.123341
      29        8.880000        1.899780        1.622803        0.125225
      30        8.881000        1.899292       -1.622314        0.123341
      31        8.880000        1.899780        1.622803        0.125225
      32        8.881000        1.899292       -1.622314        0.123341
      33        8.880000        1.899780        1.622803        0.125225
      34        8.881000        1.899292       -1.622314        0.123341
      35        8.880000        1.899780        1.622803        0.125225
      36        8.881000        1.899292       -1.622314        0.123341
      37        8.880000        1.899780        1.622803        0.125225
      38        8.881000        1.899292       -1.622314        0.123341
      39        8.880000        1.899780        1.622803        0.125225
      40        8.881000        1.899292       -1.622314        0.123341
      41        8.880000        1.899780        1.622803        0.125225
      42        8.881000        1.899292       -1.622314        0.123341
      43        8.880000        1.899780        1.622803        0.125225
      44        8.881000        1.899292       -1.622314        0.123341
      45        8.880000        1.899780        1.622803        0.125225
      46        8.881000        1.899292       -1.622314        0.123341
      47        8.880000        1.899780        1.622803        0.125225
      48        8.881000        1.899292       -1.622314        0.123341
      49        8.880000        1.899780        1.622803        0.125225
      50        8.881000        1.899292       -1.622314        0.123341
      51        8.880000        1.899780        1.622803        0.125225
      52        8.881000        1.899292       -1.622314        0.123341
      53        8.880000        1.899780        1.622803        0.125225
      54        8.881000        1.899292       -1.622314        0.123341
      55        8.880000        1.899780        1.622803        0.125225
      56        8.881000        1.899292       -1.622314        0.123341
      57        8.880000        1.899780        1.622803        0.125225
      58        8.881000        1.899292       -1.622314        0.123341
      59        8.880000        1.899780        1.622803        0.125225
      60        8.881000        1.899292       -1.622314        0.123341
      61        8.880000        1.899780        1.622803        0.125225
      62        8.881000        1.899292       -1.622314        0.123341
      63        8.880000        1.899780        1.622803        0.125225
      64        8.881000        1.899292       -1.622314        0.123341
      65        8.880000        1.899780        1.622803        0.125225
      66        8.881000        1.899292       -1.622314        0.123341
      67        8.880000        1.899780        1.622803        0.125225
      68        8.881000        1.899292       -1.622314        0.123341
      69        8.880000        1.899780        1.622803        0.125225
      70        8.881000        1.899292       -1.622314        0.123341
      71        8.880000        1.899780        1.622803        0.125225
      72        8.881000        1.899292       -1.622314        0.123341
      73        8.880000        1.899780        1.622803        0.125225
      74        8.881000        1.899292       -1.622314        0.123341
      75        8.880000        1.899780        1.622803        0.125225
      76        8.881000        1.899292       -1.622314        0.123341
      77        8.880000        1.899780        1.622803        0.125225
      78        8.881000        1.899292       -1.622314        0.123341
      79        8.880000        1.899780        1.622803        0.125225
      80        8.881000        1.899292       -1.622314        0.123341
      81        8.880000        1.899780        1.622803        0.125225
      82        8.881000        1.899292       -1.622314        0.123341
      83        8.880000        1.899780        1.622803        0.125225
      84        8.881000        1.899292       -1.622314        0.123341
      85        8.880000        1.899780        1.622803        0.125225
      86        8.881000        1.899292       -1.622314        0.123341
      87        8.880000        1.899780        1.622803        0.125225
      88        8.881000        1.899292       -1.622314        0.123341
      89        8.880000        1.899780        1.622803        0.125225
      90        8.881000        1.899292       -1.622314        0.123341
      91        8.880000        1.899780        1.622803        0.125225
      92        8.881000        1.899292       -1.622314        0.123341
      93        8.880000        1.899780        1.622803        0.125225
      94        8.881000        1.899292       -1.622314        0.123341
      95        8.880000        1.899780        1.622803        0.125225
      96        8.881000        1.899292       -1.622314        0.123341
      97        8.880000        1.899780        1.622803        0.125225
      98        8.881000        1.899292       -1.622314        0.123341
      99        8.880000        1.899780        1.622803        0.125225
