#    itr              mu            ntot            mtot            etot
       1      -13.781250        1.499420        0.748734      -32.525187
       2       -2.331223        1.500397       -0.434464      -11.717854
       3       -2.879035        1.500610        0.246338      -10.628693
       4       -3.121411        1.499634       -0.137207      -10.252686
       5       -3.195703        1.500854        0.075317      -10.140382
       6       -3.204141        1.499390       -0.040405      -10.093377
       7       -3.235218        1.499146        0.021729      -10.086795
       8       -3.234317        1.499146       -0.011963      -10.084408
       9       -3.233629        1.500580        0.006607      -10.088030
      10       -3.224834        1.500366       -0.002075      -10.081692
      11       -3.234639        1.499146        0.000244      -10.078559
      12       -3.225604        1.499634       -0.000000      -10.084705
