#    itr              mu            ntot            mtot            etot
       1      -21.000000        3.000000        3.000000     -114.537500
       2       14.793000        2.299255       -2.299255       10.904800
       3       12.914000        2.299072        2.245728        6.849210
       4       13.176000        2.299072       -2.231567        7.545344
       5       13.247000        2.299072        2.228638        7.730600
       6       13.266000        2.299561       -2.229126        7.775341
       7       13.266000        2.299072        2.228638        7.771840
       8       13.266000        2.299561       -2.229126        7.775341
       9       13.266000        2.299072        2.228638        7.771840
      10       13.266000        2.299561       -2.229126        7.775341
      11       13.266000        2.299072        2.228638        7.771840
      12       13.266000        2.299561       -2.229126        7.775341
      13       13.266000        2.299072        2.228638        7.771840
      14       13.266000        2.299561       -2.229126        7.775341
      15       13.266000        2.299072        2.228638        7.771840
      16       13.266000        2.299561       -2.229126        7.775341
      17       13.266000        2.299072        2.228638        7.771840
      18       13.266000        2.299561       -2.229126        7.775341
      19       13.266000        2.299072        2.228638        7.771840
      20       13.266000        2.299561       -2.229126        7.775341
      21       13.266000        2.299072        2.228638        7.771840
      22       13.266000        2.299561       -2.229126        7.775341
      23       13.266000        2.299072        2.228638        7.771840
      24       13.266000        2.299561       -2.229126        7.775341
      25       13.266000        2.299072        2.228638        7.771840
      26       13.266000        2.299561       -2.229126        7.775341
      27       13.266000        2.299072        2.228638        7.771840
      28       13.266000        2.299561       -2.229126        7.775341
      29       13.266000        2.299072        2.228638        7.771840
      30       13.266000        2.299561       -2.229126        7.775341
      31       13.266000        2.299072        2.228638        7.771840
      32       13.266000        2.299561       -2.229126        7.775341
      33       13.266000        2.299072        2.228638        7.771840
      34       13.266000        2.299561       -2.229126        7.775341
      35       13.266000        2.299072        2.228638        7.771840
      36       13.266000        2.299561       -2.229126        7.775341
      37       13.266000        2.299072        2.228638        7.771840
      38       13.266000        2.299561       -2.229126        7.775341
      39       13.266000        2.299072        2.228638        7.771840
      40       13.266000        2.299561       -2.229126        7.775341
      41       13.266000        2.299072        2.228638        7.771840
      42       13.266000        2.299561       -2.229126        7.775341
      43       13.266000        2.299072        2.228638        7.771840
      44       13.266000        2.299561       -2.229126        7.775341
      45       13.266000        2.299072        2.228638        7.771840
      46       13.266000        2.299561       -2.229126        7.775341
      47       13.266000        2.299072        2.228638        7.771840
      48       13.266000        2.299561       -2.229126        7.775341
      49       13.266000        2.299072        2.228638        7.771840
      50       13.266000        2.299561       -2.229126        7.775341
      51       13.266000        2.299072        2.228638        7.771840
      52       13.266000        2.299561       -2.229126        7.775341
      53       13.266000        2.299072        2.228638        7.771840
      54       13.266000        2.299561       -2.229126        7.775341
      55       13.266000        2.299072        2.228638        7.771840
      56       13.266000        2.299561       -2.229126        7.775341
      57       13.266000        2.299072        2.228638        7.771840
      58       13.266000        2.299561       -2.229126        7.775341
      59       13.266000        2.299072        2.228638        7.771840
      60       13.266000        2.299561       -2.229126        7.775341
      61       13.266000        2.299072        2.228638        7.771840
      62       13.266000        2.299561       -2.229126        7.775341
      63       13.266000        2.299072        2.228638        7.771840
      64       13.266000        2.299561       -2.229126        7.775341
      65       13.266000        2.299072        2.228638        7.771840
      66       13.266000        2.299561       -2.229126        7.775341
      67       13.266000        2.299072        2.228638        7.771840
      68       13.266000        2.299561       -2.229126        7.775341
      69       13.266000        2.299072        2.228638        7.771840
      70       13.266000        2.299561       -2.229126        7.775341
      71       13.266000        2.299072        2.228638        7.771840
      72       13.266000        2.299561       -2.229126        7.775341
      73       13.266000        2.299072        2.228638        7.771840
      74       13.266000        2.299561       -2.229126        7.775341
      75       13.266000        2.299072        2.228638        7.771840
      76       13.266000        2.299561       -2.229126        7.775341
      77       13.266000        2.299072        2.228638        7.771840
      78       13.266000        2.299561       -2.229126        7.775341
      79       13.266000        2.299072        2.228638        7.771840
      80       13.266000        2.299561       -2.229126        7.775341
      81       13.266000        2.299072        2.228638        7.771840
      82       13.266000        2.299561       -2.229126        7.775341
      83       13.266000        2.299072        2.228638        7.771840
      84       13.266000        2.299561       -2.229126        7.775341
      85       13.266000        2.299072        2.228638        7.771840
      86       13.266000        2.299561       -2.229126        7.775341
      87       13.266000        2.299072        2.228638        7.771840
      88       13.266000        2.299561       -2.229126        7.775341
      89       13.266000        2.299072        2.228638        7.771840
      90       13.266000        2.299561       -2.229126        7.775341
      91       13.266000        2.299072        2.228638        7.771840
      92       13.266000        2.299561       -2.229126        7.775341
      93       13.266000        2.299072        2.228638        7.771840
      94       13.266000        2.299561       -2.229126        7.775341
      95       13.266000        2.299072        2.228638        7.771840
      96       13.266000        2.299561       -2.229126        7.775341
      97       13.266000        2.299072        2.228638        7.771840
      98       13.266000        2.299561       -2.229126        7.775341
      99       13.266000        2.299072        2.228638        7.771840
