#    itr              mu            ntot            mtot            etot
       1      -14.755371        1.900635        0.947698      -45.866159
       2        3.446487        1.900787       -0.764981       -9.821580
       3        3.249241        1.900879        0.599487       -7.926964
       4        2.837910        1.900909       -0.441339       -6.590263
       5        2.455332        1.899078        0.319351       -5.629949
       6        2.308066        1.899475       -0.226288       -5.121649
       7        2.248239        1.900574        0.158234       -4.837322
       8        2.218550        1.899048       -0.112061       -4.689086
       9        2.199102        1.900757        0.078491       -4.628213
      10        2.201476        1.899536       -0.053955       -4.583730
      11        2.194101        1.899292        0.038940       -4.575273
      12        2.182966        1.900269       -0.027222       -4.567497
      13        2.199578        1.900757        0.017944       -4.554396
      14        2.192978        1.900513       -0.011230       -4.550055
      15        2.180912        1.899780        0.008423       -4.552469
      16        2.186533        1.899292       -0.005981       -4.558394
      17        2.187670        1.899292        0.004517       -4.561521
      18        2.189766        1.900024       -0.003418       -4.559827
      19        2.193632        1.899841        0.002045       -4.554529
      20        2.191433        1.900513       -0.001221       -4.554721
      21        2.187397        1.900024        0.000977       -4.550950
