#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	26.759979	-11.326443	26.760617	-11.326377	16.152876	-22.225787	49.474989	11.388633	49.475759	11.388699	48.687456	10.308794	
1	26.760909	-11.326151	26.762896	-11.323460	16.157053	-22.221610	49.472072	11.385716	49.475467	11.388407	48.686894	10.308232	
2	26.761784	-11.325276	26.771645	-11.314711	16.169581	-22.209081	49.463323	11.376967	49.474592	11.387532	48.685206	10.306544	
3	26.763241	-11.323819	26.786220	-11.300137	16.190453	-22.188210	49.448749	11.362393	49.473134	11.386075	48.682394	10.303732	
4	26.765281	-11.321779	26.806610	-11.279747	16.219655	-22.159007	49.428359	11.342002	49.471095	11.384035	48.678460	10.299798	
5	26.767901	-11.319159	26.832801	-11.253555	16.257170	-22.121492	49.402167	11.315811	49.468475	11.381415	48.673408	10.294746	
6	26.771099	-11.315960	26.864775	-11.221582	16.302974	-22.075688	49.370194	11.283837	49.465276	11.378216	48.667240	10.288578	
7	26.774875	-11.312185	26.902508	-11.183848	16.357039	-22.021623	49.332460	11.246104	49.461500	11.374440	48.659961	10.281299	
8	26.779226	-11.307834	26.945975	-11.140381	16.419332	-21.959330	49.288993	11.202637	49.457150	11.370090	48.651577	10.272915	
9	26.784148	-11.302912	26.995145	-11.091211	16.489814	-21.888849	49.239823	11.153467	49.452227	11.365167	48.642093	10.263431	
10	26.789640	-11.297420	27.049982	-11.036375	16.568440	-21.810222	49.184987	11.098630	49.446736	11.359676	48.631517	10.252855	
11	26.795697	-11.291363	27.110447	-10.975910	16.655163	-21.723499	49.124522	11.038165	49.440679	11.353619	48.619856	10.241194	
12	26.802316	-11.284744	27.176496	-10.909860	16.749929	-21.628733	49.058472	10.972116	49.434060	11.347000	48.607119	10.228457	
13	26.809493	-11.277567	27.248084	-10.838272	16.852679	-21.525983	48.986884	10.900528	49.426883	11.339823	48.593315	10.214653	
14	26.817223	-11.269837	27.325157	-10.761199	16.963349	-21.415313	48.909811	10.823455	49.419153	11.332093	48.578454	10.199792	
15	26.825502	-11.261558	27.407660	-10.678696	17.081871	-21.296791	48.827308	10.740952	49.410873	11.323813	48.562548	10.183885	
16	26.834325	-11.252735	27.495533	-10.590824	17.208170	-21.170492	48.739436	10.653079	49.402051	11.314991	48.545607	10.166945	
17	26.843686	-11.243374	27.588711	-10.497645	17.342170	-21.036492	48.646257	10.559901	49.392690	11.305630	48.527645	10.148983	
18	26.853580	-11.233480	27.687126	-10.399230	17.483785	-20.894877	48.547842	10.461486	49.382796	11.295736	48.508675	10.130013	
19	26.864000	-11.223060	27.790705	-10.295652	17.632929	-20.745733	48.444264	10.357907	49.372376	11.285316	48.488711	10.110049	
20	26.874940	-11.212120	27.899370	-10.186986	17.789508	-20.589154	48.335598	10.249242	49.361436	11.274376	48.467768	10.089106	
21	26.886393	-11.200667	28.013040	-10.073317	17.953426	-20.425236	48.221929	10.135572	49.349982	11.262922	48.445862	10.067200	
22	26.898353	-11.188707	28.131628	-9.954729	18.124580	-20.254082	48.103341	10.016985	49.338022	11.250962	48.423009	10.044347	
23	26.910812	-11.176247	28.255043	-9.831313	18.302863	-20.075799	47.979925	9.893569	49.325563	11.238503	48.399226	10.020564	
24	26.923763	-11.163297	28.383190	-9.703166	18.488165	-19.890497	47.851778	9.765422	49.312613	11.225553	48.374531	9.995869	
25	26.937197	-11.149863	28.515968	-9.570388	18.680370	-19.698292	47.719000	9.632644	49.299179	11.212119	48.348944	9.970282	
26	26.951106	-11.135954	28.653272	-9.433084	18.879358	-19.499304	47.581696	9.495340	49.285269	11.198209	48.322484	9.943822	
27	26.965483	-11.121577	28.794992	-9.291364	19.085005	-19.293658	47.439976	9.353620	49.270893	11.183833	48.295170	9.916508	
28	26.980317	-11.106743	28.941012	-9.145345	19.297181	-19.081481	47.293957	9.207600	49.256059	11.168999	48.267025	9.888363	
29	26.995600	-11.091460	29.091210	-8.995146	19.515755	-18.862907	47.143758	9.057402	49.240776	11.153716	48.238070	9.859408	
30	27.011323	-11.075737	29.245461	-8.840896	19.740590	-18.638072	46.989508	8.903151	49.225053	11.137993	48.208328	9.829666	
31	27.027476	-11.059584	29.403630	-8.682726	19.971544	-18.407118	46.831338	8.744982	49.208900	11.121840	48.177823	9.799160	
32	27.044049	-11.043011	29.565580	-8.520776	20.208474	-18.170189	46.669388	8.583032	49.192327	11.105267	48.146577	9.767915	
33	27.061032	-11.026028	29.731165	-8.355191	20.451229	-17.927433	46.503803	8.417447	49.175344	11.088284	48.114617	9.735955	
34	27.078415	-11.008645	29.900231	-8.186125	20.699657	-17.679005	46.334737	8.248381	49.157961	11.070901	48.081968	9.703306	
35	27.096187	-10.990873	30.072619	-8.013737	20.953602	-17.425060	46.162349	8.075993	49.140189	11.053129	48.048656	9.669994	
36	27.114337	-10.972723	30.248159	-7.838197	21.212904	-17.165758	45.986809	7.900453	49.122039	11.034979	48.014709	9.636047	
37	27.132854	-10.954206	30.426675	-7.659681	21.477399	-16.901264	45.808293	7.721937	49.103522	11.016462	47.980154	9.601492	
38	27.151727	-10.935333	30.607978	-7.478378	21.746919	-16.631743	45.626990	7.540634	49.084649	10.997589	47.945021	9.566359	
39	27.170945	-10.916115	30.791872	-7.294484	22.021295	-16.357367	45.443096	7.356740	49.065431	10.978371	47.909339	9.530677	
40	27.190495	-10.896565	30.978146	-7.108211	22.300351	-16.078311	45.256823	7.170467	49.045881	10.958821	47.873138	9.494476	
