#    itr              mu            ntot            mtot            etot
       1      -24.752930        1.000671        0.500336      -29.686698
       2       -5.910096        0.999146       -0.363037      -10.071368
       3       -5.661690        1.000732        0.311707       -9.537396
       4       -5.698868        1.000977       -0.276428       -9.356894
       5       -5.724130        1.000000        0.250305       -9.239236
       6       -5.745717        0.999512       -0.230774       -9.164100
       7       -5.767456        1.000244        0.215515       -9.117524
       8       -5.776129        0.999512       -0.203430       -9.072876
       9       -5.796767        0.999023        0.194885       -9.043193
      10       -5.801147        1.000427       -0.188751       -9.032938
      11       -5.808206        0.999512        0.184143       -9.009886
      12       -5.807586        1.000244       -0.179382       -9.006913
      13       -5.810381        1.000000        0.175110       -8.993210
      14       -5.816092        0.999756       -0.172791       -8.983530
      15       -5.824297        0.999512        0.170227       -8.977967
      16       -5.821312        1.000244       -0.167908       -8.977697
      17       -5.808774        1.000244        0.165955       -8.971000
      18       -5.814719        1.000977       -0.163879       -8.971354
      19       -5.816469        1.000488        0.162903       -8.962266
      20       -5.817963        0.999878       -0.161615       -8.958155
      21       -5.822567        1.000488        0.159973       -8.961014
      22       -5.823168        1.000488       -0.159241       -8.956121
      23       -5.810354        1.000977        0.158997       -8.957570
