#    itr              mu            ntot            mtot            etot
       1       53.720215        5.799622        0.100167      140.588455
       2       24.776956        5.800964       -0.074358       81.962759
       3       24.740573        5.799744        0.055329       81.971280
       4       24.717206        5.799255       -0.040542       81.951340
       5       24.695772        5.800232        0.028717       81.974486
       6       24.685024        5.800049       -0.019100       81.986112
       7       24.679610        5.799561        0.012940       81.973676
       8       24.679750        5.800293       -0.009049       81.986235
       9       24.674115        5.799316        0.006954       81.971933
      10       24.679802        5.800537       -0.006252       81.987975
      11       24.682841        5.800293        0.004562       82.000058
      12       24.683117        5.800781       -0.003555       82.008320
      13       24.683405        5.800293        0.002045       82.003858
      14       24.677923        5.799316       -0.001739       81.972884
