#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	57.634682	57.655052	57.634682	57.655052	46.923416	46.951340	
1	57.634983	57.655353	57.637694	57.658064	46.927633	46.955556	
2	57.635886	57.656257	57.646727	57.667098	46.940280	46.968203	
3	57.637391	57.657762	57.661777	57.682148	46.961350	46.989273	
4	57.639497	57.659867	57.682834	57.703205	46.990830	47.018754	
5	57.642202	57.662573	57.709886	57.730257	47.028703	47.056626	
6	57.645505	57.665876	57.742917	57.763287	47.074945	47.102869	
7	57.649404	57.669775	57.781905	57.802276	47.129529	47.157453	
8	57.653896	57.674267	57.826829	57.847199	47.192422	47.220346	
9	57.658980	57.679350	57.877660	57.898031	47.263586	47.291510	
10	57.664650	57.685021	57.934369	57.954740	47.342979	47.370902	
11	57.670906	57.691276	57.996921	58.017292	47.430551	47.458475	
12	57.677741	57.698112	58.065278	58.085649	47.526251	47.554175	
13	57.685154	57.705524	58.139400	58.159770	47.630022	47.657945	
14	57.693138	57.713508	58.219241	58.239612	47.741799	47.769723	
15	57.701689	57.722059	58.304754	58.325124	47.861517	47.889441	
16	57.710802	57.731173	58.395886	58.416257	47.989103	48.017026	
17	57.720472	57.740842	58.492584	58.512955	48.124480	48.152403	
18	57.730692	57.751063	58.594789	58.615159	48.267566	48.295490	
19	57.741457	57.761828	58.702439	58.722809	48.418276	48.446200	
20	57.752760	57.773131	58.815469	58.835840	48.576518	48.604442	
21	57.764595	57.784965	58.933812	58.954182	48.742198	48.770122	
22	57.776953	57.797324	59.057396	59.077766	48.915216	48.943139	
23	57.789828	57.810199	59.186146	59.206517	49.095466	49.123390	
24	57.803212	57.823583	59.319986	59.340356	49.282842	49.310765	
25	57.817097	57.837467	59.458834	59.479204	49.477229	49.505152	
26	57.831474	57.851845	59.602606	59.622977	49.678511	49.706434	
27	57.846335	57.866706	59.751217	59.771588	49.886566	49.914490	
28	57.861671	57.882042	59.904577	59.924948	50.101270	50.129193	
29	57.877473	57.897843	60.062593	60.082964	50.322492	50.350416	
30	57.893731	57.914101	60.225170	60.245541	50.550100	50.578024	
31	57.910435	57.930805	60.392211	60.412581	50.783957	50.811881	
32	57.927575	57.947945	60.563614	60.583984	51.023921	51.051845	
33	57.945141	57.965512	60.739276	60.759647	51.269849	51.297772	
34	57.963123	57.983493	60.919092	60.939463	51.521591	51.549514	
35	57.981509	58.001879	61.102953	61.123324	51.778996	51.806920	
36	58.000288	58.020659	61.290749	61.311119	52.041910	52.069834	
37	58.019450	58.039821	61.482366	61.502736	52.310174	52.338097	
38	58.038982	58.059353	61.677689	61.698059	52.583626	52.611549	
39	58.058874	58.079244	61.876600	61.896970	52.862101	52.890025	
40	58.079111	58.099482	62.078979	62.099350	53.145433	53.173356	
41	58.099684	58.120055	62.284706	62.305076	53.433449	53.461373	
42	58.120579	58.140949	62.493654	62.514025	53.725978	53.753901	
43	58.141784	58.162154	62.705700	62.726070	54.022841	54.050765	
44	58.163285	58.183655	62.920714	62.941085	54.323862	54.351785	
45	58.185070	58.205441	63.138568	63.158939	54.628858	54.656781	
46	58.207127	58.227497	63.359131	63.379501	54.937645	54.965568	
47	58.229440	58.249811	63.582269	63.602639	55.250038	55.277961	
48	58.251998	58.272369	63.807847	63.828218	55.565848	55.593772	
49	58.274787	58.295157	64.035731	64.056102	55.884886	55.912809	
50	58.297792	58.318162	64.265783	64.286154	56.206958	56.234882	
51	58.321000	58.341370	64.497864	64.518235	56.531872	56.559795	
52	58.344397	58.364768	64.731835	64.752205	56.859431	56.887354	
53	58.367969	58.388339	64.967554	64.987925	57.189438	57.217361	
54	58.391702	58.412072	65.204880	65.225250	57.521694	57.549617	
55	58.415580	58.435951	65.443669	65.464040	57.855999	57.883922	
56	58.439591	58.459962	65.683778	65.704149	58.192152	58.220075	
57	58.463720	58.484090	65.925063	65.945433	58.529950	58.557873	
58	58.487951	58.508322	66.167377	66.187747	58.869189	58.897113	
59	58.512271	58.532642	66.410575	66.430945	59.209667	59.237590	
60	58.536665	58.557035	66.654510	66.674881	59.551176	59.579100	
61	58.561117	58.581488	66.899036	66.919407	59.893512	59.921436	
62	58.585614	58.605985	67.144005	67.164375	60.236469	60.264392	
63	58.610140	58.630511	67.389269	67.409640	60.579839	60.607763	
64	58.634682	58.655052	67.634682	67.655052	60.923416	60.951340	
65	58.659223	58.679593	67.880094	67.900464	61.266993	61.294917	
66	58.683749	58.704120	68.125358	68.145729	61.610364	61.638287	
67	58.708246	58.728617	68.370327	68.390698	61.953320	61.981244	
68	58.732699	58.753069	68.614853	68.635224	62.295656	62.323580	
69	58.757092	58.777463	68.858788	68.879159	62.637166	62.665089	
70	58.781412	58.801783	69.101986	69.122357	62.977643	63.005566	
71	58.805644	58.826014	69.344301	69.364671	63.316883	63.344806	
72	58.829772	58.850143	69.585585	69.605955	63.654681	63.682604	
73	58.853783	58.874153	69.825694	69.846065	63.990833	64.018757	
74	58.877662	58.898032	70.064484	70.084854	64.325139	64.353062	
75	58.901394	58.921765	70.301809	70.322180	64.657395	64.685318	
76	58.924966	58.945337	70.537528	70.557899	64.987402	65.015325	
77	58.948363	58.968734	70.771499	70.791870	65.314961	65.342884	
78	58.971572	58.991942	71.003580	71.023951	65.639874	65.667798	
79	58.994577	59.014947	71.233632	71.254003	65.961947	65.989870	
80	59.017365	59.037736	71.461516	71.481887	66.280984	66.308908	
81	59.039923	59.060293	71.687095	71.707465	66.596795	66.624718	
82	59.062237	59.082607	71.910233	71.930603	66.909187	66.937111	
83	59.084293	59.104664	72.130795	72.151165	67.217975	67.245898	
84	59.106078	59.126449	72.348649	72.369020	67.522970	67.550894	
85	59.127580	59.147950	72.563664	72.584034	67.823991	67.851914	
86	59.148784	59.169155	72.775709	72.796080	68.120855	68.148778	
87	59.169679	59.190050	72.984658	73.005028	68.413383	68.441306	
88	59.190252	59.210622	73.190384	73.210755	68.701399	68.729323	
89	59.210490	59.230860	73.392764	73.413134	68.984731	69.012654	
90	59.230381	59.250751	73.591675	73.612045	69.263206	69.291130	
91	59.249913	59.270284	73.786998	73.807368	69.536658	69.564582	
92	59.269075	59.289445	73.978615	73.998985	69.804922	69.832846	
93	59.287855	59.308225	74.166410	74.186781	70.067836	70.095760	
94	59.306241	59.326611	74.350271	74.370642	70.325242	70.353165	
95	59.324222	59.344593	74.530087	74.550458	70.576984	70.604907	
96	59.341788	59.362159	74.705750	74.726120	70.822911	70.850835	
97	59.358929	59.379299	74.877153	74.897523	71.062875	71.090799	
98	59.375633	59.396003	75.044193	75.064563	71.296732	71.324655	
99	59.391891	59.412261	75.206770	75.227141	71.524340	71.552264	
100	59.407692	59.428063	75.364786	75.385157	71.745562	71.773486	
101	59.423028	59.443399	75.518146	75.538516	71.960266	71.988190	
102	59.437889	59.458260	75.666757	75.687127	72.168322	72.196245	
103	59.452267	59.472637	75.810530	75.830900	72.369604	72.397527	
104	59.466151	59.486522	75.949378	75.969748	72.563991	72.591914	
105	59.479535	59.499906	76.083217	76.103588	72.751366	72.779290	
106	59.492410	59.512781	76.211968	76.232338	72.931617	72.959540	
107	59.504769	59.525139	76.335552	76.355922	73.104634	73.132558	
108	59.516603	59.536973	76.453894	76.474265	73.270314	73.298237	
109	59.527906	59.548276	76.566925	76.587295	73.428556	73.456480	
110	59.538671	59.559041	76.674575	76.694945	73.579266	73.607190	
111	59.548891	59.569262	76.776779	76.797150	73.722353	73.750276	
112	59.558561	59.578932	76.873477	76.893848	73.857730	73.885653	
113	59.567675	59.588045	76.964610	76.984980	73.985315	74.013239	
114	59.576226	59.596596	77.050122	77.070493	74.105033	74.132957	
115	59.584210	59.604580	77.129964	77.150334	74.216811	74.244734	
116	59.591622	59.611993	77.204085	77.224456	74.320581	74.348504	
117	59.598458	59.618828	77.272442	77.292813	74.416281	74.444205	
118	59.604713	59.625083	77.334994	77.355365	74.503854	74.531777	
119	59.610384	59.630754	77.391703	77.412073	74.583246	74.611170	
120	59.615467	59.635837	77.442535	77.462905	74.654410	74.682334	
121	59.619959	59.640330	77.487458	77.507829	74.717303	74.745227	
122	59.623858	59.644229	77.526447	77.546817	74.771887	74.799811	
123	59.627161	59.647532	77.559477	77.579848	74.818130	74.846053	
124	59.629866	59.650237	77.586529	77.606899	74.856002	74.883926	
125	59.631972	59.652343	77.607586	77.627957	74.885483	74.913406	
126	59.633477	59.653848	77.622636	77.643007	74.906553	74.934476	
127	59.634381	59.654751	77.631670	77.652040	74.919200	74.947123	
128	59.634682	59.655052	77.634682	77.655052	74.923416	74.951340	
129	59.637694	59.658064	77.634983	77.655353	74.924019	74.951942	
130	59.646727	59.667098	77.635886	77.656257	74.925825	74.953749	
131	59.661777	59.682148	77.637391	77.657762	74.928835	74.956759	
132	59.682834	59.703205	77.639497	77.659867	74.933047	74.960970	
133	59.709886	59.730257	77.642202	77.662573	74.938457	74.966381	
134	59.742917	59.763287	77.645505	77.665876	74.945063	74.972987	
135	59.781905	59.802276	77.649404	77.669775	74.952861	74.980784	
136	59.826829	59.847199	77.653896	77.674267	74.961846	74.989769	
137	59.877660	59.898031	77.658980	77.679350	74.972012	74.999935	
138	59.934369	59.954740	77.664650	77.685021	74.983354	75.011277	
139	59.996921	60.017292	77.670906	77.691276	74.995864	75.023788	
140	60.065278	60.085649	77.677741	77.698112	75.009535	75.037459	
141	60.139400	60.159770	77.685154	77.705524	75.024360	75.052283	
142	60.219241	60.239612	77.693138	77.713508	75.040328	75.068252	
143	60.304754	60.325124	77.701689	77.722059	75.057431	75.085354	
144	60.395886	60.416257	77.710802	77.731173	75.075657	75.103581	
145	60.492584	60.512955	77.720472	77.740842	75.094997	75.122920	
146	60.594789	60.615159	77.730692	77.751063	75.115438	75.143361	
147	60.702439	60.722809	77.741457	77.761828	75.136968	75.164891	
148	60.815469	60.835840	77.752760	77.773131	75.159574	75.187497	
149	60.933812	60.954182	77.764595	77.784965	75.183242	75.211166	
150	61.057396	61.077766	77.776953	77.797324	75.207959	75.235883	
151	61.186146	61.206517	77.789828	77.810199	75.233709	75.261633	
152	61.319986	61.340356	77.803212	77.823583	75.260477	75.288400	
153	61.458834	61.479204	77.817097	77.837467	75.288247	75.316170	
154	61.602606	61.622977	77.831474	77.851845	75.317001	75.344925	
155	61.751217	61.771588	77.846335	77.866706	75.346723	75.374647	
156	61.904577	61.924948	77.861671	77.882042	75.377395	75.405319	
157	62.062593	62.082964	77.877473	77.897843	75.408998	75.436922	
158	62.225170	62.245541	77.893731	77.914101	75.441514	75.469437	
159	62.392211	62.412581	77.910435	77.930805	75.474922	75.502846	
160	62.563614	62.583984	77.927575	77.947945	75.509203	75.537126	
161	62.739276	62.759647	77.945141	77.965512	75.544335	75.572259	
162	62.919092	62.939463	77.963123	77.983493	75.580298	75.608222	
163	63.102953	63.123324	77.981509	78.001879	75.617070	75.644994	
164	63.290749	63.311119	78.000288	78.020659	75.654630	75.682553	
165	63.482366	63.502736	78.019450	78.039821	75.692953	75.720877	
166	63.677689	63.698059	78.038982	78.059353	75.732018	75.759941	
167	63.876600	63.896970	78.058874	78.079244	75.771800	75.799723	
168	64.078979	64.099350	78.079111	78.099482	75.812276	75.840199	
169	64.284706	64.305076	78.099684	78.120055	75.853421	75.881344	
170	64.493654	64.514025	78.120579	78.140949	75.895211	75.923134	
171	64.705700	64.726070	78.141784	78.162154	75.937620	75.965543	
172	64.920714	64.941085	78.163285	78.183655	75.980623	76.008546	
173	65.138568	65.158939	78.185070	78.205441	76.024193	76.052117	
174	65.359131	65.379501	78.207127	78.227497	76.068306	76.096230	
175	65.582269	65.602639	78.229440	78.249811	76.112934	76.140857	
176	65.807847	65.828218	78.251998	78.272369	76.158049	76.185973	
177	66.035731	66.056102	78.274787	78.295157	76.203626	76.231550	
178	66.265783	66.286154	78.297792	78.318162	76.249636	76.277560	
179	66.497864	66.518235	78.321000	78.341370	76.296053	76.323976	
180	66.731835	66.752205	78.344397	78.364768	76.342847	76.370770	
181	66.967554	66.987925	78.367969	78.388339	76.389991	76.417914	
182	67.204880	67.225250	78.391702	78.412072	76.437456	76.465379	
183	67.443669	67.464040	78.415580	78.435951	76.485214	76.513137	
184	67.683778	67.704149	78.439591	78.459962	76.533235	76.561159	
185	67.925063	67.945433	78.463720	78.484090	76.581492	76.609416	
186	68.167377	68.187747	78.487951	78.508322	76.629955	76.657879	
187	68.410575	68.430945	78.512271	78.532642	76.678595	76.706518	
188	68.654510	68.674881	78.536665	78.557035	76.727382	76.755305	
189	68.899036	68.919407	78.561117	78.581488	76.776287	76.804211	
190	69.144005	69.164375	78.585614	78.605985	76.825281	76.853204	
191	69.389269	69.409640	78.610140	78.630511	76.874334	76.902257	
192	69.634682	69.655052	78.634682	78.655052	76.923416	76.951340	
193	69.880094	69.900464	78.659223	78.679593	76.972499	77.000422	
194	70.125358	70.145729	78.683749	78.704120	77.021551	77.049475	
195	70.370327	70.390698	78.708246	78.728617	77.070545	77.098469	
196	70.614853	70.635224	78.732699	78.753069	77.119450	77.147374	
197	70.858788	70.879159	78.757092	78.777463	77.168237	77.196161	
198	71.101986	71.122357	78.781412	78.801783	77.216877	77.244801	
199	71.344301	71.364671	78.805644	78.826014	77.265340	77.293263	
200	71.585585	71.605955	78.829772	78.850143	77.313597	77.341520	
201	71.825694	71.846065	78.853783	78.874153	77.361619	77.389542	
202	72.064484	72.084854	78.877662	78.898032	77.409376	77.437300	
203	72.301809	72.322180	78.901394	78.921765	77.456842	77.484765	
204	72.537528	72.557899	78.924966	78.945337	77.503985	77.531909	
205	72.771499	72.791870	78.948363	78.968734	77.550780	77.578703	
206	73.003580	73.023951	78.971572	78.991942	77.597196	77.625119	
207	73.233632	73.254003	78.994577	79.014947	77.643206	77.671130	
208	73.461516	73.481887	79.017365	79.037736	77.688783	77.716707	
209	73.687095	73.707465	79.039923	79.060293	77.733899	77.761822	
210	73.910233	73.930603	79.062237	79.082607	77.778526	77.806450	
211	74.130795	74.151165	79.084293	79.104664	77.822639	77.850562	
212	74.348649	74.369020	79.106078	79.126449	77.866210	77.894133	
213	74.563664	74.584034	79.127580	79.147950	77.909213	77.937136	
214	74.775709	74.796080	79.148784	79.169155	77.951622	77.979545	
215	74.984658	75.005028	79.169679	79.190050	77.993411	78.021335	
216	75.190384	75.210755	79.190252	79.210622	78.034557	78.062480	
217	75.392764	75.413134	79.210490	79.230860	78.075033	78.102956	
218	75.591675	75.612045	79.230381	79.250751	78.114815	78.142738	
219	75.786998	75.807368	79.249913	79.270284	78.153879	78.181803	
220	75.978615	75.998985	79.269075	79.289445	78.192203	78.220126	
221	76.166410	76.186781	79.287855	79.308225	78.229762	78.257685	
222	76.350271	76.370642	79.306241	79.326611	78.266534	78.294458	
223	76.530087	76.550458	79.324222	79.344593	78.302497	78.330421	
224	76.705750	76.726120	79.341788	79.362159	78.337630	78.365553	
225	76.877153	76.897523	79.358929	79.379299	78.371910	78.399834	
226	77.044193	77.064563	79.375633	79.396003	78.405318	78.433242	
227	77.206770	77.227141	79.391891	79.412261	78.437834	78.465757	
228	77.364786	77.385157	79.407692	79.428063	78.469437	78.497361	
229	77.518146	77.538516	79.423028	79.443399	78.500109	78.528033	
230	77.666757	77.687127	79.437889	79.458260	78.529831	78.557755	
231	77.810530	77.830900	79.452267	79.472637	78.558586	78.586509	
232	77.949378	77.969748	79.466151	79.486522	78.586355	78.614279	
233	78.083217	78.103588	79.479535	79.499906	78.613123	78.641047	
234	78.211968	78.232338	79.492410	79.512781	78.638873	78.666797	
235	78.335552	78.355922	79.504769	79.525139	78.663590	78.691514	
236	78.453894	78.474265	79.516603	79.536973	78.687259	78.715182	
237	78.566925	78.587295	79.527906	79.548276	78.709865	78.737788	
238	78.674575	78.694945	79.538671	79.559041	78.731395	78.759318	
239	78.776779	78.797150	79.548891	79.569262	78.751836	78.779759	
240	78.873477	78.893848	79.558561	79.578932	78.771175	78.799099	
241	78.964610	78.984980	79.567675	79.588045	78.789402	78.817325	
242	79.050122	79.070493	79.576226	79.596596	78.806504	78.834428	
243	79.129964	79.150334	79.584210	79.604580	78.822472	78.850396	
244	79.204085	79.224456	79.591622	79.611993	78.837297	78.865220	
245	79.272442	79.292813	79.598458	79.618828	78.850968	78.878892	
246	79.334994	79.355365	79.604713	79.625083	78.863479	78.891402	
247	79.391703	79.412073	79.610384	79.630754	78.874820	78.902744	
248	79.442535	79.462905	79.615467	79.635837	78.884987	78.912910	
249	79.487458	79.507829	79.619959	79.640330	78.893971	78.921895	
250	79.526447	79.546817	79.623858	79.644229	78.901769	78.929693	
251	79.559477	79.579848	79.627161	79.647532	78.908375	78.936299	
252	79.586529	79.606899	79.629866	79.650237	78.913786	78.941709	
253	79.607586	79.627957	79.631972	79.652343	78.917997	78.945921	
254	79.622636	79.643007	79.633477	79.653848	78.921007	78.948931	
255	79.631670	79.652040	79.634381	79.654751	78.922814	78.950737	
256	79.634682	79.655052	79.634682	79.655052	78.923416	78.951340	
257	79.629441	79.649812	79.633296	79.653666	78.922211	78.950134	
258	79.613727	79.634098	79.629136	79.649507	78.918589	78.946513	
259	79.587559	79.607930	79.622194	79.642565	78.912534	78.940457	
260	79.550970	79.571341	79.612457	79.632828	78.904016	78.931940	
261	79.504007	79.524377	79.599907	79.620277	78.892995	78.920919	
262	79.446728	79.467098	79.584519	79.604889	78.879419	78.907343	
263	79.379206	79.399577	79.566265	79.586636	78.863226	78.891150	
264	79.301527	79.321898	79.545113	79.565483	78.844342	78.872266	
265	79.213788	79.234158	79.521022	79.541393	78.822682	78.850606	
266	79.116100	79.136470	79.493951	79.514322	78.798152	78.826076	
267	79.008584	79.028955	79.463853	79.484223	78.770647	78.798571	
268	78.891377	78.911747	79.430674	79.451044	78.740053	78.767976	
269	78.764624	78.784994	79.394360	79.414730	78.706244	78.734168	
270	78.628483	78.648854	79.354850	79.375220	78.669090	78.697013	
271	78.483124	78.503495	79.312081	79.332451	78.628448	78.656371	
272	78.328727	78.349098	79.265986	79.286356	78.584168	78.612092	
273	78.165483	78.185854	79.216495	79.236865	78.536095	78.564019	
274	77.993593	78.013964	79.163535	79.183905	78.484065	78.511989	
275	77.813268	77.833638	79.107030	79.127401	78.427907	78.455831	
276	77.624728	77.645098	79.046903	79.067274	78.367446	78.395369	
277	77.428203	77.448573	78.983074	79.003445	78.302500	78.330423	
278	77.223931	77.244302	78.915462	78.935832	78.232884	78.260807	
279	77.012159	77.032530	78.843983	78.864353	78.158408	78.186331	
280	76.793141	76.813511	78.768554	78.788924	78.078880	78.106803	
281	76.567138	76.587509	78.689091	78.709461	77.994104	78.022027	
282	76.334420	76.354791	78.605509	78.625880	77.903883	77.931806	
283	76.095261	76.115631	78.517724	78.538095	77.808018	77.835942	
284	75.849941	75.870312	78.425652	78.446023	77.706312	77.734236	
285	75.598748	75.619118	78.329210	78.349581	77.598566	77.626490	
286	75.341972	75.362342	78.228317	78.248687	77.484583	77.512506	
287	75.079908	75.100278	78.122891	78.143262	77.364166	77.392090	
288	74.812856	74.833227	78.012856	78.033227	77.237125	77.265048	
289	74.541119	74.561490	77.898136	77.918506	77.103268	77.131191	
290	74.265003	74.285373	77.778658	77.799028	76.962411	76.990334	
291	73.984814	74.005185	77.654352	77.674722	76.814373	76.842297	
292	73.700863	73.721234	77.525152	77.545523	76.658980	76.686903	
293	73.413461	73.433831	77.390997	77.411368	76.496062	76.523986	
294	73.122919	73.143289	77.251830	77.272200	76.325459	76.353383	
295	72.829548	72.849919	77.107596	77.127966	76.147017	76.174940	
296	72.533661	72.554031	76.958248	76.978618	75.960590	75.988514	
297	72.235567	72.255938	76.803744	76.824114	75.766043	75.793967	
298	71.935577	71.955948	76.644047	76.664417	75.563250	75.591174	
299	71.633997	71.654368	76.479126	76.499497	75.352095	75.380019	
300	71.331133	71.351504	76.308958	76.329329	75.132475	75.160398	
301	71.027287	71.047658	76.133525	76.153896	74.904295	74.932219	
302	70.722758	70.743129	75.952817	75.973187	74.667477	74.695401	
303	70.417842	70.438212	75.766830	75.787201	74.421954	74.449878	
304	70.112829	70.133199	75.575570	75.595941	74.167671	74.195595	
305	69.808005	69.828376	75.379049	75.399419	73.904590	73.932514	
306	69.503653	69.524024	75.177287	75.197657	73.632685	73.660609	
307	69.200049	69.220419	74.970313	74.990683	73.351947	73.379870	
308	68.897462	68.917832	74.758165	74.778535	73.062380	73.090303	
309	68.596156	68.616527	74.540888	74.561258	72.764006	72.791930	
310	68.296390	68.316760	74.318538	74.338908	72.456863	72.484786	
311	67.998412	68.018783	74.091178	74.111549	72.141004	72.168927	
