#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
224	9.199944	13.317788	11.834235	15.952078	10.911733	14.724691	-9.590735	-5.472891	-6.956445	-2.838601	-16.405682	-12.592724	
225	9.371199	13.489043	11.851366	15.969210	10.945996	14.758953	-9.607867	-5.490023	-7.127700	-3.009856	-16.645627	-12.832670	
226	9.538101	13.655945	11.868062	15.985906	10.979386	14.792344	-9.624562	-5.506719	-7.294602	-3.176758	-16.879466	-13.066509	
227	9.700549	13.818393	11.884312	16.002155	11.011885	14.824842	-9.640812	-5.522968	-7.457049	-3.339206	-17.107058	-13.294100	
228	9.858444	13.976287	11.900105	16.017949	11.043472	14.856430	-9.656606	-5.538762	-7.614944	-3.497100	-17.328264	-13.515306	
229	10.011690	14.129533	11.915434	16.033277	11.074128	14.887086	-9.671934	-5.554090	-7.768190	-3.650346	-17.542953	-13.729995	
230	10.160194	14.278038	11.930288	16.048131	11.103836	14.916794	-9.686788	-5.568944	-7.916694	-3.798851	-17.750993	-13.938036	
231	10.303867	14.421711	11.944658	16.062501	11.132577	14.945535	-9.701158	-5.583314	-8.060368	-3.942524	-17.952261	-14.139304	
232	10.442622	14.560466	11.958536	16.076379	11.160333	14.973291	-9.715036	-5.597192	-8.199122	-4.081279	-18.146635	-14.333678	
233	10.576374	14.694218	11.971913	16.089757	11.187089	15.000046	-9.728413	-5.610570	-8.332874	-4.215031	-18.333998	-14.521041	
234	10.705043	14.822886	11.984782	16.102625	11.212827	15.025784	-9.741282	-5.623438	-8.461543	-4.343699	-18.514237	-14.701279	
235	10.828550	14.946394	11.997134	16.114978	11.237532	15.050490	-9.753634	-5.635791	-8.585050	-4.467207	-18.687243	-14.874285	
236	10.946821	15.064665	12.008963	16.126806	11.261190	15.074148	-9.765463	-5.647619	-8.703322	-4.585478	-18.852912	-15.039955	
237	11.059785	15.177629	12.020260	16.138104	11.283786	15.096744	-9.776761	-5.658917	-8.816285	-4.698442	-19.011145	-15.198187	
238	11.167373	15.285217	12.031020	16.148864	11.305307	15.118264	-9.787520	-5.669677	-8.923873	-4.806030	-19.161845	-15.348887	
239	11.269520	15.387363	12.041236	16.159079	11.325739	15.138697	-9.797736	-5.679892	-9.026020	-4.908176	-19.304923	-15.491965	
240	11.366164	15.484008	12.050901	16.168744	11.345070	15.158028	-9.807401	-5.689557	-9.122664	-5.004821	-19.440291	-15.627334	
241	11.457247	15.575091	12.060010	16.177853	11.363289	15.176247	-9.816510	-5.698666	-9.213747	-5.095904	-19.567869	-15.754912	
242	11.542714	15.660558	12.068557	16.186400	11.380384	15.193342	-9.825057	-5.707213	-9.299214	-5.181371	-19.687580	-15.874622	
243	11.622513	15.740357	12.076537	16.194381	11.396346	15.209303	-9.833037	-5.715194	-9.379014	-5.261170	-19.799351	-15.986393	
244	11.696596	15.814440	12.083946	16.201789	11.411164	15.224122	-9.840446	-5.722602	-9.453097	-5.335253	-19.903115	-16.090157	
245	11.764919	15.882762	12.090778	16.208622	11.424830	15.237787	-9.847278	-5.729435	-9.521419	-5.403575	-19.998809	-16.185852	
246	11.827439	15.945283	12.097030	16.214874	11.437335	15.250293	-9.853530	-5.735687	-9.583939	-5.466096	-20.086377	-16.273419	
247	11.884119	16.001963	12.102698	16.220542	11.448672	15.261630	-9.859199	-5.741355	-9.640620	-5.522776	-20.165765	-16.352807	
248	11.934926	16.052769	12.107779	16.225623	11.458834	15.271792	-9.864279	-5.746436	-9.691426	-5.573582	-20.236925	-16.423967	
249	11.979827	16.097671	12.112269	16.230113	11.467815	15.280773	-9.868770	-5.750926	-9.736328	-5.618484	-20.299814	-16.486856	
250	12.018797	16.136641	12.116166	16.234010	11.475610	15.288568	-9.872667	-5.754823	-9.775297	-5.657454	-20.354395	-16.541437	
251	12.051811	16.169655	12.119468	16.237311	11.482213	15.295171	-9.875968	-5.758124	-9.808312	-5.690468	-20.400635	-16.587677	
252	12.078850	16.196694	12.122172	16.240015	11.487622	15.300579	-9.878672	-5.760828	-9.835351	-5.717507	-20.438505	-16.625548	
253	12.099898	16.217741	12.124276	16.242120	11.491831	15.304789	-9.880777	-5.762933	-9.856398	-5.738554	-20.467984	-16.655026	
254	12.114940	16.232784	12.125781	16.243624	11.494840	15.307798	-9.882281	-5.764437	-9.871441	-5.753597	-20.489053	-16.676095	
255	12.123970	16.241813	12.126684	16.244527	11.496646	15.309604	-9.883184	-5.765340	-9.880470	-5.762626	-20.501699	-16.688741	
256	12.126980	16.244824	12.126985	16.244828	11.497248	15.310206	-9.883485	-5.765641	-9.883480	-5.765637	-20.505915	-16.692958	
257	12.121744	16.239587	12.125598	16.243442	11.496044	15.309001	-9.882098	-5.764255	-9.878244	-5.760400	-20.497483	-16.684526	
258	12.106034	16.223878	12.121443	16.239287	11.492423	15.305381	-9.877943	-5.760100	-9.862535	-5.744691	-20.472199	-16.659241	
259	12.079874	16.197718	12.114509	16.232353	11.486370	15.299328	-9.871009	-5.753166	-9.836374	-5.718531	-20.430097	-16.617139	
260	12.043296	16.161140	12.104783	16.222627	11.477856	15.290814	-9.861283	-5.743440	-9.799796	-5.681953	-20.371234	-16.558277	
261	11.996347	16.114191	12.092247	16.210091	11.466839	15.279797	-9.848747	-5.730904	-9.752847	-5.635004	-20.295694	-16.482736	
262	11.939086	16.056929	12.076877	16.194720	11.453269	15.266227	-9.833377	-5.715533	-9.695586	-5.577742	-20.203578	-16.390620	
263	11.871585	15.989429	12.058644	16.176488	11.437082	15.250040	-9.815144	-5.697301	-9.628085	-5.510242	-20.095013	-16.282056	
264	11.793930	15.911774	12.037516	16.155359	11.418205	15.231163	-9.794016	-5.676172	-9.550430	-5.432587	-19.970149	-16.157192	
265	11.706219	15.824063	12.013453	16.131297	11.396554	15.209512	-9.769953	-5.652110	-9.462719	-5.344876	-19.829157	-16.016199	
266	11.608562	15.726405	11.986414	16.104257	11.372034	15.184991	-9.742914	-5.625070	-9.365062	-5.247218	-19.672228	-15.859270	
267	11.501081	15.618925	11.956350	16.074194	11.344539	15.157497	-9.712850	-5.595007	-9.257582	-5.139738	-19.499578	-15.686620	
268	11.383913	15.501756	11.923210	16.041054	11.313956	15.126914	-9.679710	-5.561867	-9.140413	-5.022569	-19.311441	-15.498483	
269	11.257202	15.375046	11.886938	16.004782	11.280161	15.093119	-9.643439	-5.525595	-9.013703	-4.895859	-19.108073	-15.295115	
