# n = 4.3 U  = 16.0 J = 4.000 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       62.746000        4.299194        0.662231      228.776770
       2       63.450000        4.299072        0.427795      230.462611
       3       63.689000        4.299316        0.296082      231.125353
       4       63.759000        4.299316        0.215271      231.413914
       5       63.795000        4.299561        0.166077      231.563488
       6       63.798000        4.299805        0.133484      231.659007
       7       63.801000        4.299072        0.110168      231.664746
       8       63.792000        4.299805        0.092712      231.692506
       9       63.797000        4.299805        0.080017      231.749202
      10       63.796000        4.299072        0.068176      231.712911
      11       63.780000        4.299805        0.058533      231.725471
      12       63.778000        4.299194        0.051270      231.734582
      13       63.760000        4.299438        0.045044      231.719219
      14       63.763000        4.299194        0.039551      231.720766
      15       63.758000        4.299438        0.034790      231.724679
      16       63.757000        4.299683        0.028564      231.755914
      17       63.761000        4.300171        0.025146      231.802787
      18       63.773000        4.299194        0.022461      231.769442
      19       63.758000        4.299194        0.019287      231.713892
      20       63.753000        4.299438        0.016724      231.730262
      21       63.757000        4.299438        0.014038      231.744614
      22       63.755000        4.299927        0.011841      231.775938
      23       63.760000        4.299438        0.008179      231.772969
      24       63.751000        4.299683        0.006592      231.760963
      25       63.755000        4.299438        0.005493      231.759444
      26       63.751000        4.299438        0.005005      231.745496
      27       63.751000        4.299438        0.004028      231.745520
      28       63.750000        4.299438        0.003052      231.745497
      29       63.750000        4.299438        0.002563      231.745638
      30       63.751000        4.299438        0.002075      231.745591
      31       63.751000        4.299927        0.001831      231.776786
      32       63.756000        4.299438        0.001587      231.773632
      33       63.750000        4.299438        0.001587      231.745607
      34       63.750000        4.299438        0.001587      231.745607
