#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	23.996199	20.433821	23.996199	20.433822	12.998680	9.658043	46.003801	42.441423	46.003801	42.441423	45.001320	41.660683	
1	23.996500	20.434122	23.999210	20.436832	13.002896	9.662259	46.000790	42.438412	46.003500	42.441121	45.000718	41.660081	
2	23.997403	20.435025	24.008241	20.445863	13.015543	9.674905	45.991759	42.429382	46.002597	42.440218	44.998912	41.658275	
3	23.998908	20.436530	24.023285	20.460908	13.036612	9.695974	45.976715	42.414337	46.001092	42.438714	44.995903	41.655266	
4	24.001013	20.438635	24.044335	20.481958	13.066090	9.725453	45.955665	42.393287	45.998987	42.436609	44.991693	41.651056	
5	24.003717	20.441339	24.071378	20.509000	13.103961	9.763324	45.928622	42.366245	45.996283	42.433905	44.986284	41.645647	
6	24.007019	20.444641	24.104396	20.542019	13.150201	9.809564	45.895604	42.333226	45.992981	42.430603	44.979680	41.639043	
7	24.010917	20.448538	24.143371	20.580994	13.204783	9.864146	45.856629	42.294251	45.989083	42.426705	44.971885	41.631248	
8	24.015407	20.453029	24.188279	20.625901	13.267673	9.927036	45.811721	42.249343	45.984593	42.422214	44.962904	41.622266	
9	24.020489	20.458110	24.239092	20.676715	13.338834	9.998196	45.760908	42.198530	45.979511	42.417133	44.952741	41.612104	
10	24.026158	20.463779	24.295780	20.733403	13.418222	10.077585	45.704220	42.141842	45.973842	42.411464	44.941403	41.600766	
11	24.032411	20.470032	24.358309	20.795932	13.505790	10.165153	45.641691	42.079313	45.967589	42.405211	44.928897	41.588260	
12	24.039244	20.476866	24.426641	20.864263	13.601486	10.260849	45.573359	42.010981	45.960756	42.398378	44.915230	41.574593	
13	24.046654	20.484275	24.500735	20.938357	13.705251	10.364614	45.499265	41.936888	45.953346	42.390968	44.900411	41.559774	
14	24.054635	20.492257	24.580545	21.018168	13.817023	10.476386	45.419455	41.857077	45.945365	42.382987	44.884448	41.543811	
15	24.063183	20.500805	24.666025	21.103647	13.936735	10.596098	45.333975	41.771598	45.936817	42.374439	44.867352	41.526714	
16	24.072293	20.509915	24.757121	21.194744	14.064314	10.723677	45.242879	41.680501	45.927707	42.365329	44.849132	41.508494	
17	24.081960	20.519581	24.853780	21.291403	14.199684	10.859047	45.146220	41.583842	45.918040	42.355662	44.829799	41.489162	
18	24.092177	20.529798	24.955943	21.393565	14.342763	11.002126	45.044057	41.481679	45.907823	42.345445	44.809365	41.468728	
19	24.102938	20.540559	25.063548	21.501170	14.493465	11.152828	44.936452	41.374075	45.897062	42.334684	44.787843	41.447206	
20	24.114237	20.551859	25.176530	21.614152	14.651699	11.311062	44.823470	41.261093	45.885763	42.323385	44.765246	41.424608	
21	24.126067	20.563689	25.294821	21.732443	14.817370	11.476733	44.705179	41.142802	45.873933	42.311555	44.741586	41.400949	
22	24.138421	20.576043	25.418349	21.855971	14.990378	11.649741	44.581651	41.019274	45.861579	42.299201	44.716879	41.376241	
23	24.151291	20.588913	25.547040	21.984662	15.170619	11.829982	44.452960	40.890583	45.848709	42.286330	44.691138	41.350501	
24	24.164671	20.602292	25.680816	22.118438	15.357984	12.017346	44.319184	40.756807	45.835329	42.272951	44.664381	41.323744	
25	24.178550	20.616172	25.819596	22.257218	15.552360	12.211723	44.180404	40.618026	45.821450	42.259071	44.636622	41.295985	
26	24.192923	20.630544	25.963296	22.400919	15.753630	12.412993	44.036704	40.474326	45.807077	42.244699	44.607879	41.267242	
27	24.207778	20.645400	26.111830	22.549452	15.961674	12.621036	43.888170	40.325792	45.792222	42.229843	44.578169	41.237532	
28	24.223109	20.660731	26.265107	22.702729	16.176364	12.835727	43.734893	40.172515	45.776891	42.214513	44.547510	41.206873	
29	24.238905	20.676526	26.423035	22.860657	16.397573	13.056936	43.576965	40.014588	45.761095	42.198717	44.515920	41.175283	
30	24.255157	20.692778	26.585518	23.023140	16.625168	13.284530	43.414482	39.852105	45.744843	42.182465	44.483419	41.142782	
31	24.271854	20.709476	26.752458	23.190080	16.859009	13.518372	43.247542	39.685165	45.728146	42.165767	44.450026	41.109388	
32	24.288989	20.726610	26.923753	23.361375	17.098958	13.758321	43.076247	39.513869	45.711011	42.148633	44.415760	41.075123	
33	24.306548	20.744170	27.099300	23.536923	17.344870	14.004232	42.900700	39.338322	45.693452	42.131073	44.380644	41.040007	
34	24.324523	20.762145	27.278993	23.716615	17.596595	14.255958	42.721007	39.158630	45.675477	42.113098	44.344698	41.004060	
35	24.342903	20.780525	27.462722	23.900344	17.853983	14.513346	42.537278	38.974901	45.657097	42.094719	44.307943	40.967306	
36	24.361675	20.799297	27.650376	24.087998	18.116878	14.776241	42.349624	38.787247	45.638325	42.075946	44.270402	40.929765	
37	24.380830	20.818452	27.841840	24.279462	18.385123	15.044486	42.158160	38.595782	45.619170	42.056792	44.232098	40.891461	
38	24.400355	20.837977	28.036999	24.474621	18.658555	15.317918	41.963001	38.400623	45.599645	42.037267	44.193053	40.852416	
39	24.420239	20.857860	28.235733	24.673356	18.937010	15.596373	41.764267	38.201889	45.579761	42.017383	44.153292	40.812655	
40	24.440469	20.878091	28.437922	24.875545	19.220319	15.879682	41.562078	37.999700	45.559531	41.997153	44.112838	40.772201	
41	24.461034	20.898656	28.643442	25.081064	19.508313	16.167676	41.356558	37.794180	45.538966	41.976588	44.071715	40.731078	
42	24.481921	20.919543	28.852167	25.289790	19.800818	16.460180	41.147833	37.585455	45.518079	41.955701	44.029949	40.689312	
43	24.503117	20.940739	29.063970	25.501592	20.097657	16.757019	40.936030	37.373653	45.496883	41.934504	43.987565	40.646928	
44	24.524611	20.962233	29.278719	25.716342	20.398651	17.058014	40.721281	37.158903	45.475389	41.913011	43.944588	40.603951	
45	24.546388	20.984010	29.496284	25.933906	20.703620	17.362983	40.503716	36.941339	45.453612	41.891234	43.901044	40.560407	
46	24.568436	21.006057	29.716529	26.154151	21.012379	17.671742	40.283471	36.721094	45.431564	41.869186	43.856960	40.516323	
47	24.590741	21.028363	29.939317	26.376940	21.324743	17.984105	40.060683	36.498305	45.409259	41.846881	43.812362	40.471724	
48	24.613290	21.050912	30.164510	26.602133	21.640522	18.299885	39.835490	36.273112	45.386710	41.824332	43.767276	40.426639	
49	24.636069	21.073691	30.391966	26.829589	21.959528	18.618891	39.608034	36.045656	45.363931	41.801552	43.721732	40.381094	
50	24.659066	21.096687	30.621541	27.059163	22.281567	18.940930	39.378459	35.816082	45.340934	41.778556	43.675755	40.335118	
51	24.682265	21.119886	30.853087	27.290709	22.606446	19.265809	39.146913	35.584536	45.317735	41.755357	43.629373	40.288736	
52	24.705653	21.143274	31.086454	27.524076	22.933968	19.593331	38.913546	35.351169	45.294347	41.731969	43.582616	40.241978	
53	24.729215	21.166837	31.321487	27.759110	23.263937	19.923300	38.678513	35.116135	45.270785	41.708407	43.535510	40.194873	
54	24.752938	21.190560	31.558028	27.995650	23.596153	20.255516	38.441972	34.879594	45.247062	41.684683	43.488085	40.147447	
55	24.776808	21.214429	31.795910	28.233533	23.930417	20.589780	38.204090	34.641712	45.223192	41.660814	43.440368	40.099731	
56	24.800809	21.238431	32.034960	28.472583	24.266526	20.925889	37.965040	34.402662	45.199191	41.636813	43.392390	40.051753	
57	24.824928	21.262549	32.274993	28.712615	24.604279	21.263642	37.725007	34.162630	45.175072	41.612694	43.344179	40.003541	
58	24.849149	21.286771	32.515805	28.953428	24.943471	21.602834	37.484195	33.921817	45.150851	41.588472	43.295763	39.955126	
59	24.873459	21.311081	32.757171	29.194794	25.283898	21.943261	37.242829	33.680451	45.126541	41.564163	43.247174	39.906536	
60	24.897843	21.335465	32.998823	29.436445	25.625355	22.284718	37.001177	33.438799	45.102157	41.539779	43.198439	39.857802	
61	24.922285	21.359907	33.240427	29.678050	25.967637	22.627000	36.759573	33.197195	45.077715	41.515336	43.149588	39.808951	
62	24.946772	21.384394	33.481531	29.919154	26.310536	22.969899	36.518469	32.956091	45.053228	41.490850	43.100652	39.760015	
63	24.971288	21.408910	33.721453	30.159075	26.653846	23.313209	36.278547	32.716169	45.028712	41.466333	43.051659	39.711022	
64	24.995819	21.433441	33.959024	30.396647	26.997360	23.656723	36.040976	32.478598	45.004181	41.441802	43.002640	39.662003	
65	25.020350	21.457972	34.191895	30.629518	27.340871	24.000233	35.808105	32.245727	44.979650	41.417271	42.953624	39.612987	
66	25.044866	21.482488	34.414303	30.851926	27.684171	24.343534	35.585697	32.023319	44.955134	41.392755	42.904641	39.564004	
67	25.069353	21.506975	34.608192	31.045814	28.027054	24.686417	35.391808	31.829431	44.930647	41.368269	42.855721	39.515083	
68	25.093795	21.531417	34.710132	31.147754	28.369313	25.028676	35.289868	31.727491	44.906205	41.343827	42.806893	39.466255	
69	25.118178	21.555800	35.365861	31.803483	28.710741	25.370104	34.634139	31.071761	44.881822	41.319444	42.758187	39.417550	
