# n = 2.0 U  = 14.0 J = 3.500 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       18.990000        1.999390        0.157837       27.799106
       2       18.980000        1.999878        0.049927       28.111124
       3       18.965000        1.999146        0.015625       28.125649
       4       18.971000        1.999146        0.004883       28.113274
       5       18.969000        1.999878        0.001831       28.127831
       6       18.972000        1.999634        0.000488       28.140725
       7       18.970000        1.999146        0.000244       28.126001
       8       18.965000        1.999146        0.000244       28.114521
       9       18.965000        1.999146        0.000244       28.114521
