#    itr              mu            ntot            mtot            etot
       1       75.994000        4.399780        0.462524      291.110929
       2       76.221000        4.399902        0.374451      291.541754
       3       76.355000        4.399414        0.315369      291.771371
       4       76.389000        4.399414        0.271912      291.896241
       5       76.415000        4.399170        0.240295      291.987506
       6       76.422000        4.399414        0.216736      292.061775
       7       76.451000        4.399902        0.199646      292.168550
       8       76.453000        4.399414        0.183777      292.201204
       9       76.443000        4.399170        0.171448      292.179163
      10       76.446000        4.399170        0.161682      292.183859
      11       76.445000        4.399902        0.152771      292.257706
      12       76.450000        4.399902        0.145691      292.324885
      13       76.459000        4.399902        0.139832      292.336823
      14       76.458000        4.399170        0.134583      292.290853
      15       76.448000        4.399170        0.130188      292.248237
      16       76.452000        4.399170        0.125305      292.253705
      17       76.448000        4.399170        0.121155      292.260944
      18       76.441000        4.399170        0.116760      292.267200
      19       76.441000        4.399170        0.112854      292.273405
      20       76.433000        4.399170        0.108704      292.277743
      21       76.430000        4.399414        0.105896      292.302289
      22       76.434000        4.399414        0.102966      292.322345
      23       76.435000        4.399170        0.099426      292.307322
      24       76.426000        4.399170        0.095276      292.294447
      25       76.428000        4.399170        0.092346      292.299335
      26       76.420000        4.399414        0.089539      292.321550
      27       76.418000        4.399658        0.085999      292.359853
      28       76.424000        4.399780        0.083008      292.390372
      29       76.414000        4.399780        0.079346      292.402106
      30       76.415000        4.399048        0.075317      292.349995
      31       76.399000        4.399048        0.071899      292.302652
      32       76.399000        4.399292        0.067139      292.324605
      33       76.401000        4.399048        0.062866      292.326513
      34       76.390000        4.399292        0.057617      292.330963
      35       76.399000        4.399048        0.053345      292.332959
      36       76.388000        4.399536        0.049194      292.355671
      37       76.388000        4.399048        0.045776      292.355329
      38       76.383000        4.399536        0.043091      292.360419
      39       76.395000        4.399292        0.040771      292.377312
      40       76.394000        4.399292        0.038330      292.361595
      41       76.397000        4.400269        0.036377      292.437378
      42       76.412000        4.399536        0.032349      292.450427
      43       76.404000        4.399780        0.029053      292.419084
      44       76.400000        4.399048        0.027710      292.381589
      45       76.388000        4.399048        0.025269      292.330828
      46       76.394000        4.399048        0.024292      292.331516
      47       76.390000        4.399536        0.023560      292.369210
      48       76.396000        4.399048        0.022827      292.366225
      49       76.388000        4.399048        0.022339      292.332442
      50       76.389000        4.399536        0.021606      292.369751
      51       76.396000        4.399292        0.020752      292.385469
      52       76.391000        4.399292        0.019775      292.368461
      53       76.389000        4.399048        0.018188      292.350141
      54       76.382000        4.399292        0.016113      292.351934
      55       76.389000        4.399292        0.015137      292.369585
      56       76.387000        4.399292        0.014648      292.369607
      57       76.386000        4.399780        0.014404      292.406956
      58       76.393000        4.399292        0.013672      292.403659
      59       76.383000        4.399292        0.013184      292.369670
      60       76.386000        4.399292        0.012695      292.369846
      61       76.387000        4.399292        0.012207      292.369936
      62       76.387000        4.399292        0.011719      292.369893
      63       76.389000        4.399292        0.011230      292.370059
      64       76.385000        4.399292        0.010254      292.369922
      65       76.386000        4.399292        0.009766      292.370270
      66       76.386000        4.399780        0.009521      292.407513
      67       76.397000        4.399536        0.008667      292.422979
      68       76.389000        4.400269        0.007568      292.461868
      69       76.399000        4.399048        0.005981      292.419947
      70       76.380000        4.399536        0.004761      292.372050
      71       76.390000        4.399536        0.004272      292.406179
      72       76.390000        4.399048        0.003540      292.368797
      73       76.383000        4.399536        0.003296      292.372245
      74       76.392000        4.399048        0.003052      292.368928
      75       76.386000        4.400024        0.003052      292.409553
      76       76.401000        4.399048        0.002563      292.402908
      77       76.385000        4.399048        0.002563      292.335077
      78       76.386000        4.399048        0.002075      292.334965
      79       76.386000        4.399048        0.002075      292.335082
      80       76.386000        4.399048        0.002075      292.335082
