#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
124	25.946144	13.175850	44.001153	31.230889	39.966458	27.028165	25.998847	13.228584	44.053856	31.283561	41.975759	29.037465	
125	25.948239	13.177944	44.022095	31.251832	39.979597	27.041304	25.977905	13.207641	44.051761	31.281467	41.987888	29.049595	
126	25.949735	13.179441	44.037063	31.266800	39.988815	27.050522	25.962937	13.192673	44.050264	31.279970	41.996730	29.058437	
127	25.950634	13.180340	44.046048	31.275784	39.994279	27.055985	25.953952	13.183689	44.049366	31.279072	42.002107	29.063814	
128	25.950933	13.180639	44.049043	31.278780	39.996089	39.996089	25.950957	13.180693	44.049066	31.278772	29.063814	27.057795	
129	25.953929	13.183635	44.049343	31.279079	42.002107	29.063814	25.950657	13.180394	44.046071	31.275777	39.994279	27.055985	
130	25.962913	13.192619	44.050241	31.279978	41.996730	29.058437	25.949759	13.179495	44.037086	31.266792	39.988815	27.050522	
131	25.977882	13.207587	44.051738	31.281475	41.987888	29.049595	25.948262	13.177998	44.022118	31.251824	39.979597	27.041304	
132	25.998824	13.228529	44.053832	31.283569	41.975759	29.037465	25.946168	13.175904	44.001176	31.230882	39.966458	27.028165	
133	26.025727	13.255433	44.056523	31.286259	41.960590	29.022296	25.943477	13.173214	43.974273	31.203979	39.949165	27.010871	
134	26.058574	13.288280	44.059808	31.289545	41.942698	29.004404	25.940192	13.169928	43.941426	31.171131	39.927420	26.989127	
135	26.097346	13.327051	44.063686	31.293422	41.922463	28.984169	25.936314	13.166051	43.902654	31.132360	39.900869	26.962576	
136	26.142016	13.371722	44.068154	31.297890	41.900323	28.962030	25.931846	13.161582	43.857984	31.087689	39.869100	26.930806	
137	26.192558	13.422264	44.073210	31.302946	41.876770	28.938476	25.926790	13.156527	43.807442	31.037147	39.831656	26.893362	
138	26.248940	13.478646	44.078850	31.308587	41.852330	28.914037	25.921150	13.150886	43.751059	30.980765	39.788045	26.849752	
139	26.311127	13.540833	44.085072	31.314808	41.827557	28.889264	25.914928	13.144665	43.688873	30.918579	39.737756	26.799462	
140	26.379079	13.608785	44.091871	31.321607	41.803010	28.864717	25.908129	13.137866	43.620921	30.850627	39.680274	26.741980	
141	26.452754	13.682459	44.099243	31.328979	41.779237	28.840944	25.900757	13.130494	43.547246	30.776952	39.615101	26.676807	
142	26.532105	13.761811	44.107184	31.336921	41.756754	28.818460	25.892816	13.122552	43.467895	30.697601	39.541775	26.603482	
143	26.617083	13.846788	44.115690	31.345426	41.736024	28.797730	25.884310	13.114047	43.382917	30.612623	39.459890	26.521597	
144	26.707633	13.937339	44.124755	31.354491	41.717447	28.779154	25.875246	13.104982	43.292367	30.522073	39.369107	26.430814	
145	26.803699	14.033404	44.134373	31.364109	41.701349	28.763056	25.865627	13.095364	43.196301	30.426007	39.269168	26.330875	
146	26.905219	14.134924	44.144539	31.374275	41.687974	28.749681	25.855461	13.085197	43.094781	30.324487	39.159897	26.221604	
147	27.012129	14.241835	44.155247	31.384983	41.677490	28.739197	25.844753	13.074490	42.987871	30.217577	39.041201	26.102908	
148	27.124361	14.354067	44.166490	31.396227	41.669992	28.731698	25.833510	13.063246	42.875639	30.105345	38.913063	25.974770	
149	27.241843	14.471549	44.178262	31.407999	41.665510	28.727217	25.821738	13.051474	42.758157	29.987863	38.775534	25.837240	
150	27.364499	14.594205	44.190555	31.420292	41.664025	28.725732	25.809445	13.039181	42.635501	29.865206	38.628718	25.690425	
151	27.492251	14.721957	44.203363	31.433099	41.665475	28.727182	25.796637	13.026374	42.507748	29.737454	38.472768	25.534474	
152	27.625016	14.854722	44.216677	31.446413	41.669769	28.731476	25.783323	13.013060	42.374984	29.604689	38.307866	25.369573	
153	27.762708	14.992413	44.230489	31.460226	41.676796	28.738502	25.769511	12.999247	42.237292	29.466998	38.134222	25.195929	
154	27.905235	15.134941	44.244792	31.474528	41.686431	28.748138	25.755208	12.984945	42.094765	29.324470	37.952059	25.013766	
155	28.052505	15.282211	44.259576	31.489312	41.698545	28.760252	25.740424	12.970161	41.947495	29.177201	37.761612	24.823318	
156	28.204420	15.434125	44.274833	31.504569	41.713006	28.774713	25.725168	12.954904	41.795580	29.025286	37.563119	24.624826	
157	28.360877	15.590583	44.290553	31.520289	41.729684	28.791391	25.709447	12.939184	41.639123	28.868828	37.356822	24.418529	
158	28.521772	15.751478	44.306727	31.536464	41.748453	28.810160	25.693273	12.923009	41.478228	28.707934	37.142960	24.204667	
159	28.686994	15.916700	44.323346	31.553082	41.769194	28.830900	25.676654	12.906391	41.313006	28.542712	36.921771	23.983478	
160	28.856429	16.086134	44.340399	31.570135	41.791792	28.853498	25.659601	12.889338	41.143571	28.373277	36.693490	23.755196	
161	29.029957	16.259663	44.357876	31.587612	41.816139	28.877846	25.642124	12.871861	40.970043	28.199748	36.458347	23.520054	
162	29.207456	16.437161	44.375766	31.605503	41.842136	28.903842	25.624234	12.853970	40.792544	28.022250	36.216572	23.278278	
163	29.388795	16.618500	44.394060	31.623796	41.869688	28.931394	25.605940	12.835677	40.611205	27.840911	35.968386	23.030093	
164	29.573839	16.803545	44.412745	31.642482	41.898706	28.960413	25.587255	12.816991	40.426161	27.655867	35.714013	22.775720	
165	29.762447	16.992152	44.431811	31.661548	41.929109	28.990816	25.568189	12.797925	40.237553	27.467259	35.453670	22.515376	
166	29.954469	17.184175	44.451246	31.680983	41.960819	29.022526	25.548754	12.778490	40.045531	27.275237	35.187573	22.249279	
167	30.149748	17.379453	44.471039	31.700775	41.993763	29.055470	25.528961	12.758698	39.850252	27.079958	34.915935	21.977641	
168	30.348116	17.577821	44.491177	31.720913	42.027874	29.089580	25.508823	12.738560	39.651884	26.881590	34.638969	21.700676	
169	30.549394	17.779099	44.511648	31.741385	42.063086	29.124792	25.488352	12.718088	39.450606	26.680312	34.356886	21.418592	
170	30.753388	17.983094	44.532441	31.762177	42.099338	29.161045	25.467559	12.697296	39.246612	26.476318	34.069895	21.131601	
171	30.959888	18.189594	44.553542	31.783279	42.136573	29.198280	25.446458	12.676194	39.040112	26.269817	33.778205	20.839911	
172	31.168661	18.398367	44.574939	31.804676	42.174736	29.236443	25.425061	12.654797	38.831339	26.061045	33.482025	20.543731	
173	31.379446	18.609151	44.596620	31.826356	42.213774	29.275480	25.403381	12.633117	38.620554	25.850260	33.181562	20.243269	
174	31.591945	18.821651	44.618570	31.848306	42.253635	29.315342	25.381430	12.611167	38.408055	25.637761	32.877026	19.938732	
175	31.805813	19.035519	44.640777	31.870513	42.294273	29.355979	25.359223	12.588960	38.194187	25.423893	32.568623	19.630330	
176	32.020638	19.250344	44.663227	31.892964	42.335638	29.397345	25.336773	12.566509	37.979362	25.209068	32.256563	19.318269	
177	32.235918	19.465624	44.685908	31.915644	42.377688	29.439394	25.314092	12.543829	37.764082	24.993787	31.941053	19.002759	
178	32.451023	19.680728	44.708804	31.938541	42.420376	29.482083	25.291196	12.520932	37.548977	24.778683	31.622302	18.684008	
179	32.665135	19.894841	44.731903	31.961640	42.463661	29.525368	25.268097	12.497833	37.334865	24.564570	31.300519	18.362226	
180	32.877164	20.106870	44.755191	31.984928	42.507501	29.569208	25.244809	12.474545	37.122835	24.352541	30.975915	18.037621	
181	33.085602	20.315308	44.778653	32.008390	42.551855	29.613562	25.221347	12.451083	36.914398	24.144103	30.648698	17.710404	
182	33.288294	20.518000	44.802276	32.032013	42.596683	29.658390	25.197724	12.427460	36.711706	23.941412	30.319079	17.380785	
183	33.482069	20.711774	44.826045	32.055782	42.641947	29.703653	25.173955	12.403691	36.517931	23.747637	29.987268	17.048975	
184	33.662158	20.891864	44.849946	32.079682	42.687607	29.749313	25.150054	12.379790	36.337842	23.567548	29.653477	16.715184	
185	33.821372	21.051078	44.873964	32.103701	42.733625	29.795332	25.126036	12.355772	36.178628	23.408334	29.317917	16.379624	
186	33.949296	21.179002	44.898086	32.127822	42.779966	29.841672	25.101914	12.331651	36.050704	23.280409	28.980800	16.042506	
187	34.032618	21.262323	44.922296	32.152032	42.826591	29.888298	25.077704	12.307441	35.967382	23.197088	28.642337	15.704043	
188	35.941275	23.170980	44.946580	32.176316	42.873466	29.935172	25.053420	12.283157	34.058725	21.288431	28.302740	15.364446	
189	35.977491	23.207196	44.970923	32.200659	42.920553	29.982260	25.029077	12.258814	34.022509	21.252215	27.962221	15.023928	
190	36.070054	23.299759	44.995311	32.225047	42.967819	30.029525	25.004689	12.234426	33.929946	21.159652	27.620993	14.682700	
191	36.206237	23.435942	45.019729	32.249465	43.015227	30.076934	24.980271	12.210008	33.793763	21.023469	27.279268	14.340974	
192	36.373173	23.602879	45.044162	32.273898	43.062744	30.124450	24.955838	12.185575	33.626827	20.856532	26.937256	13.998963	
193	36.560979	23.790685	45.068595	32.298332	43.110335	30.172041	24.931405	12.161141	33.439021	20.668726	26.595171	13.656877	
194	36.762873	23.992579	45.093015	32.322751	43.157966	30.219672	24.906985	12.136722	33.237127	20.466833	26.253222	13.314929	
195	36.974353	24.204059	45.117405	32.347142	43.205604	30.267310	24.882595	12.112331	33.025647	20.255353	25.911622	12.973328	
196	37.192415	24.422121	45.141752	32.371488	43.253215	30.314922	24.858248	12.087985	32.807585	20.037291	25.570579	12.632286	
