# n = 2.2 U  = 19.0 J = 4.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       31.621000        2.199341        0.230713       56.665055
       2       31.610000        2.199585        0.098999       57.249426
       3       31.611000        2.199829        0.042236       57.339276
       4       31.592000        2.199829        0.016602       57.369105
       5       31.615000        2.199829        0.007568       57.373065
       6       31.626000        2.200073        0.002319       57.380084
       7       31.614000        2.199829        0.000732       57.381200
       8       31.616000        2.199341        0.000000       57.356818
       9       31.604000        2.199341        0.000000       57.339686
      10       31.604000        2.199341        0.000000       57.339686
