# n = 1.1 U  = 15.0 J = 3.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1        5.389079        1.100342        0.163025        2.375893
       2        5.303279        1.100098        0.109436        2.476025
       3        5.231260        1.100220        0.076660        2.513270
       4        5.197460        1.099976        0.051880        2.531689
       5        5.180460        1.099976        0.036011        2.537799
       6        5.173460        1.099976        0.025024        2.542090
       7        5.169460        1.099976        0.016235        2.544061
       8        5.166460        1.099976        0.010864        2.545055
       9        5.163260        1.099976        0.007446        2.545464
      10        5.162301        1.100220        0.005371        2.546959
      11        5.167055        1.100220        0.004883        2.550378
      12        5.166797        1.100220        0.004395        2.550399
      13        5.165313        1.100220        0.003906        2.550438
      14        5.163613        1.099976        0.003540        2.549171
      15        5.160713        1.099976        0.003540        2.545830
      16        5.160713        1.099976        0.003540        2.545830
