#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
73	-8.338733	-8.440204	2.633212	2.531741	-3.302000	-3.393858	0.251126	0.149655	11.223072	11.121601	9.192384	9.100526	
74	-8.314854	-8.416325	2.871997	2.770526	-2.967695	-3.059553	0.012342	-0.089129	11.199193	11.097722	9.144626	9.052768	
75	-8.291122	-8.392593	3.109319	3.007848	-2.635439	-2.727297	-0.224980	-0.326451	11.175460	11.073989	9.097161	9.005303	
76	-8.267550	-8.369021	3.345035	3.243564	-2.305432	-2.397290	-0.460697	-0.562168	11.151888	11.050417	9.050018	8.958160	
77	-8.244153	-8.345624	3.579004	3.477533	-1.977873	-2.069731	-0.694665	-0.796136	11.128491	11.027020	9.003223	8.911366	
78	-8.220945	-8.322416	3.811083	3.709612	-1.652960	-1.744818	-0.926745	-1.028216	11.105283	11.003812	8.956807	8.864949	
79	-8.197940	-8.299411	4.041134	3.939663	-1.330887	-1.422745	-1.156795	-1.258266	11.082278	10.980807	8.910797	8.818939	
80	-8.175151	-8.276622	4.269017	4.167546	-1.011850	-1.103708	-1.384678	-1.486149	11.059490	10.958019	8.865220	8.773362	
81	-8.152593	-8.254064	4.494594	4.393123	-0.696039	-0.787897	-1.610256	-1.711727	11.036932	10.935461	8.820105	8.728247	
82	-8.130280	-8.231751	4.717731	4.616260	-0.383647	-0.475505	-1.833393	-1.934864	11.014618	10.913147	8.775477	8.683619	
83	-8.108223	-8.209694	4.938293	4.836822	-0.074859	-0.166717	-2.053955	-2.155426	10.992562	10.891091	8.731365	8.639507	
84	-8.086438	-8.187909	5.156146	5.054676	0.230136	0.138278	-2.271808	-2.373279	10.970776	10.869305	8.687794	8.595936	
85	-8.064936	-8.166407	5.371160	5.269690	0.531156	0.439298	-2.486822	-2.588293	10.949275	10.847804	8.644791	8.552933	
86	-8.043732	-8.145203	5.583206	5.481735	0.828020	0.736162	-2.698867	-2.800338	10.928070	10.826599	8.602382	8.510524	
87	-8.022837	-8.124308	5.792154	5.690683	1.120548	1.028690	-2.907815	-3.009286	10.907175	10.805705	8.560593	8.468735	
88	-8.002264	-8.103735	5.997880	5.896409	1.408565	1.316707	-3.113541	-3.215012	10.886603	10.785132	8.519448	8.427590	
89	-7.982027	-8.083497	6.200259	6.098788	1.691896	1.600038	-3.315920	-3.417391	10.866365	10.764894	8.478972	8.387114	
90	-7.962135	-8.063606	6.399170	6.297699	1.970371	1.878513	-3.514831	-3.616302	10.846474	10.745003	8.439190	8.347332	
91	-7.942603	-8.044074	6.594492	6.493021	2.243823	2.151965	-3.710154	-3.811625	10.826942	10.725471	8.400126	8.308268	
92	-7.923441	-8.024912	6.786109	6.684638	2.512086	2.420229	-3.901771	-4.003241	10.807780	10.706309	8.361802	8.269944	
93	-7.904662	-8.006133	6.973904	6.872433	2.775000	2.683142	-4.089566	-4.191037	10.789000	10.687529	8.324243	8.232386	
94	-7.886276	-7.987747	7.157765	7.056294	3.032405	2.940547	-4.273427	-4.374898	10.770614	10.669143	8.287472	8.195614	
95	-7.868294	-7.969765	7.337581	7.236110	3.284147	3.192289	-4.453242	-4.554713	10.752633	10.651162	8.251509	8.159651	
96	-7.850728	-7.952199	7.513243	7.411772	3.530074	3.438216	-4.628905	-4.730376	10.735066	10.633595	8.216376	8.124519	
97	-7.833588	-7.935059	7.684646	7.583175	3.770038	3.678180	-4.800308	-4.901778	10.717926	10.616455	8.182096	8.090238	
98	-7.816884	-7.918355	7.851686	7.750215	4.003895	3.912037	-4.967348	-5.068819	10.701222	10.599751	8.148688	8.056831	
99	-7.800626	-7.902097	8.014263	7.912792	4.231502	4.139644	-5.129925	-5.231396	10.684964	10.583493	8.116173	8.024315	
100	-7.784824	-7.886295	8.172279	8.070808	4.452724	4.360866	-5.287941	-5.389412	10.669163	10.567692	8.084571	7.992713	
101	-7.769488	-7.870959	8.325639	8.224168	4.667427	4.575570	-5.441300	-5.542771	10.653827	10.552356	8.053899	7.962041	
102	-7.754627	-7.856098	8.474250	8.372779	4.875482	4.783624	-5.589911	-5.691382	10.638966	10.537495	8.024177	7.932320	
103	-7.740250	-7.841721	8.618022	8.516551	5.076764	4.984906	-5.733684	-5.835155	10.624588	10.523117	7.995424	7.903566	
104	-7.726365	-7.827836	8.756870	8.655399	5.271150	5.179292	-5.872532	-5.974003	10.610704	10.509233	7.967655	7.875797	
105	-7.712981	-7.814452	8.890710	8.789239	5.458525	5.366667	-6.006371	-6.107842	10.597320	10.495849	7.940888	7.849030	
106	-7.700106	-7.801577	9.019460	8.917989	5.638774	5.546917	-6.135122	-6.236593	10.584445	10.482974	7.915138	7.823280	
107	-7.687748	-7.789219	9.143044	9.041573	5.811791	5.719933	-6.258705	-6.360176	10.572086	10.470615	7.890423	7.798565	
108	-7.675914	-7.777385	9.261387	9.159916	5.977469	5.885611	-6.377048	-6.478519	10.560252	10.458781	7.866755	7.774897	
109	-7.664611	-7.766081	9.374417	9.272946	6.135710	6.043853	-6.490078	-6.591549	10.548949	10.447478	7.844151	7.752293	
