#    itr              mu            ntot            mtot            etot
       1       11.320312        3.099670        1.449511      -16.762737
       2        7.148127        3.100861       -0.627484       -3.744153
       3        8.015380        3.100311        0.252243       -0.651582
       4        8.193744        3.099518       -0.101874       -0.058001
       5        8.219415        3.100098        0.041809        0.040237
       6        8.220545        3.099915       -0.015869        0.058366
       7        8.235934        3.100067        0.005203        0.061267
       8        8.239355        3.099731       -0.002350        0.062807
       9        8.236180        3.100616        0.000900        0.065430
      10        8.239634        3.100616       -0.000046        0.070949
      11        8.236498        3.100647       -0.000137        0.070785
