#    itr              mu            ntot            mtot            etot
       1      -21.000000        2.285217        2.285217      -70.637549
       2        3.359000        1.499146       -1.309082       -5.766731
       3        0.900000        1.499512        0.961548       -7.387382
       4        0.575000        1.499268       -0.710815       -6.454512
       5        0.256000        1.499390        0.508545       -5.966249
       6        0.067000        1.499146       -0.359863       -5.684902
       7       -0.017000        1.499146        0.251465       -5.541845
       8       -0.055000        1.499390       -0.171143       -5.467824
       9       -0.086000        1.499146        0.117187       -5.428412
      10       -0.091000        1.499390       -0.081787       -5.412637
      11       -0.103000        1.499146        0.054687       -5.403215
      12       -0.105000        1.499146       -0.037598       -5.400790
      13       -0.105000        1.499146        0.025879       -5.399110
      14       -0.104000        1.500366       -0.018799       -5.398490
      15       -0.098000        1.499390        0.011963       -5.389559
      16       -0.106000        1.499390       -0.008057       -5.396112
      17       -0.099000        1.499390        0.003174       -5.396039
      18       -0.107000        1.499146       -0.000488       -5.395804
      19       -0.117000        1.499146        0.000488       -5.397548
      20       -0.117000        1.499146       -0.000488       -5.397548
