#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
136	-8.204487	10.388897	9.858885	28.452269	8.083363	26.061390	-8.413084	10.180300	9.650288	28.243672	5.613795	23.591823	
137	-8.154340	10.439044	9.863903	28.457287	8.058582	26.036610	-8.418102	10.175282	9.600141	28.193525	5.577578	23.555605	
138	-8.098404	10.494980	9.869501	28.462885	8.032470	26.010498	-8.423701	10.169683	9.544205	28.137589	5.535639	23.513666	
139	-8.036716	10.556667	9.875677	28.469061	8.005508	25.983535	-8.429876	10.163508	9.482517	28.075901	5.487540	23.465567	
140	-7.969317	10.624066	9.882426	28.475810	7.978194	25.956221	-8.436625	10.156759	9.415118	28.008502	5.432825	23.410852	
141	-7.896252	10.697132	9.889744	28.483127	7.951034	25.929062	-8.443943	10.149441	9.342053	27.935437	5.371038	23.349065	
142	-7.817569	10.775815	9.897627	28.491010	7.924526	25.902553	-8.451826	10.141558	9.263370	27.856754	5.301737	23.279764	
143	-7.733321	10.860063	9.906070	28.499453	7.899142	25.877169	-8.460269	10.133115	9.179122	27.772505	5.224506	23.202533	
144	-7.643564	10.949820	9.915068	28.508451	7.875318	25.853345	-8.469267	10.124117	9.089365	27.682748	5.138971	23.116998	
145	-7.548359	11.045025	9.924615	28.517999	7.853440	25.831468	-8.478815	10.114569	8.994160	27.587543	5.044811	23.022839	
146	-7.447770	11.145614	9.934707	28.528091	7.833838	25.811865	-8.488907	10.104477	8.893571	27.486955	4.941768	22.919795	
147	-7.341866	11.251518	9.945337	28.538721	7.816775	25.794803	-8.499536	10.093847	8.787667	27.381050	4.829651	22.807678	
148	-7.230719	11.362665	9.956499	28.549882	7.802452	25.780480	-8.510698	10.082686	8.676520	27.269904	4.708337	22.686365	
149	-7.114406	11.478978	9.968185	28.561569	7.791005	25.769032	-8.522384	10.071000	8.560207	27.153591	4.577773	22.555801	
150	-6.993008	11.600376	9.980389	28.573773	7.782511	25.760539	-8.534589	10.058795	8.438809	27.032192	4.437966	22.415994	
151	-6.866609	11.726774	9.993104	28.586488	7.776998	25.755025	-8.547304	10.046080	8.312410	26.905794	4.288979	22.267007	
152	-6.735300	11.858084	10.006322	28.599706	7.774448	25.752475	-8.560522	10.032862	8.181101	26.774485	4.130922	22.108949	
153	-6.599174	11.994210	10.020036	28.613419	7.774811	25.752838	-8.574235	10.019149	8.044975	26.638359	3.963942	21.941969	
154	-6.458329	12.135055	10.034236	28.627620	7.778008	25.756035	-8.588435	10.004949	7.904130	26.497514	3.788217	21.766244	
155	-6.312869	12.280514	10.048914	28.642298	7.783942	25.761969	-8.603114	9.990270	7.758670	26.352054	3.603949	21.581977	
156	-6.162903	12.430481	10.064063	28.657446	7.792504	25.770531	-8.618262	9.975122	7.608703	26.202087	3.411356	21.389383	
157	-6.008542	12.584841	10.079671	28.673055	7.803575	25.781602	-8.633871	9.959513	7.454343	26.047727	3.210666	21.188693	
158	-5.849908	12.743476	10.095731	28.689115	7.817034	25.795062	-8.649931	9.943453	7.295709	25.889093	3.002113	20.980141	
159	-5.687124	12.906259	10.112233	28.705617	7.832760	25.810788	-8.666432	9.926951	7.132925	25.726309	2.785939	20.763967	
160	-5.520323	13.073061	10.129166	28.722550	7.850632	25.828660	-8.683366	9.910018	6.966124	25.559508	2.562384	20.540411	
161	-5.349643	13.243741	10.146521	28.739905	7.870534	25.848561	-8.700721	9.892663	6.795444	25.388827	2.331687	20.309714	
162	-5.175230	13.418154	10.164287	28.757671	7.892353	25.870380	-8.718487	9.874897	6.621031	25.214414	2.094089	20.072116	
163	-4.997239	13.596145	10.182454	28.775838	7.915982	25.894010	-8.736653	9.856731	6.443040	25.036424	1.849826	19.827854	
164	-4.815835	13.777548	10.201010	28.794394	7.941320	25.919347	-8.755209	9.838174	6.261636	24.855020	1.599134	19.577161	
165	-4.631195	13.962189	10.219945	28.813329	7.968269	25.946297	-8.774144	9.819240	6.076996	24.670379	1.342244	19.320272	
166	-4.443506	14.149878	10.239247	28.832631	7.996739	25.974767	-8.793446	9.799938	5.889307	24.482691	1.079387	19.057414	
167	-4.252973	14.340410	10.258904	28.852288	8.026643	26.004671	-8.813103	9.780280	5.698774	24.292158	0.810789	18.788817	
168	-4.059818	14.533565	10.278905	28.872289	8.057900	26.035928	-8.833105	9.760279	5.505619	24.099003	0.536677	18.514704	
169	-3.864285	14.729099	10.299238	28.892622	8.090433	26.068461	-8.853437	9.739946	5.310086	23.903469	0.257272	18.235300	
170	-3.666642	14.926742	10.319891	28.913274	8.124169	26.102197	-8.874090	9.719294	5.112443	23.705827	-0.027202	17.950825	
171	-3.467192	15.126192	10.340850	28.934234	8.159039	26.137067	-8.895050	9.698334	4.912993	23.506377	-0.316527	17.661501	
172	-3.266276	15.327108	10.362105	28.955488	8.194978	26.173005	-8.916304	9.677080	4.712077	23.305461	-0.610482	17.367545	
173	-3.064286	15.529097	10.383641	28.977024	8.231922	26.209949	-8.937840	9.655544	4.510087	23.103471	-0.908851	17.069176	
174	-2.861679	15.731705	10.405445	28.998829	8.269812	26.247839	-8.959645	9.633739	4.307480	22.900864	-1.211417	16.766611	
175	-2.658993	15.934391	10.427506	29.020890	8.308592	26.286619	-8.981705	9.611679	4.104794	22.698177	-1.517962	16.460066	
176	-2.456875	16.136509	10.449809	29.043193	8.348206	26.326233	-9.004008	9.589375	3.902675	22.496059	-1.828270	16.149757	
