# n = 1.1 U  = 11.0 J = 2.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1        1.653321        1.100342        0.123962       -1.580126
       2        1.541907        1.100220        0.060303       -1.506525
       3        1.517581        1.100220        0.031250       -1.490432
       4        1.506581        1.099976        0.014771       -1.486482
       5        1.500381        1.099976        0.007446       -1.487804
       6        1.497486        1.100220        0.004395       -1.487145
       7        1.497686        1.099976        0.003052       -1.484981
       8        1.495986        1.099976        0.002563       -1.487413
       9        1.495686        1.099976        0.002075       -1.487405
      10        1.494086        1.099976        0.002075       -1.487398
      11        1.494086        1.099976        0.002075       -1.487398
