#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-1.852890	-1.844040	-1.852890	-1.844040	-12.808411	-12.800476	
1	-1.852589	-1.843739	-1.849878	-1.841028	-12.804194	-12.796260	
2	-1.851685	-1.842835	-1.840845	-1.831994	-12.791547	-12.783612	
3	-1.850180	-1.841330	-1.825795	-1.816944	-12.770477	-12.762542	
4	-1.848075	-1.839225	-1.804737	-1.795887	-12.740997	-12.733062	
5	-1.845370	-1.836519	-1.777685	-1.768835	-12.703124	-12.695190	
6	-1.842067	-1.833216	-1.744655	-1.735805	-12.656882	-12.648947	
7	-1.838168	-1.829318	-1.705666	-1.696816	-12.602298	-12.594363	
8	-1.833675	-1.824825	-1.660743	-1.651893	-12.539405	-12.531470	
9	-1.828592	-1.819742	-1.609911	-1.601061	-12.468240	-12.460306	
10	-1.822921	-1.814071	-1.553203	-1.544352	-12.388848	-12.380914	
11	-1.816666	-1.807816	-1.490651	-1.481801	-12.301276	-12.293341	
12	-1.809830	-1.800980	-1.422293	-1.413443	-12.205575	-12.197641	
13	-1.802418	-1.793568	-1.348172	-1.339322	-12.101805	-12.093871	
14	-1.794434	-1.785584	-1.268331	-1.259481	-11.990028	-11.982093	
15	-1.785883	-1.777033	-1.182818	-1.173968	-11.870310	-11.862375	
16	-1.776770	-1.767919	-1.091685	-1.082835	-11.742724	-11.734790	
17	-1.767100	-1.758250	-0.994988	-0.986137	-11.607347	-11.599413	
18	-1.756879	-1.748029	-0.892783	-0.883933	-11.464261	-11.456326	
19	-1.746114	-1.737264	-0.785133	-0.776283	-11.313551	-11.305616	
20	-1.734811	-1.725961	-0.672103	-0.663253	-11.155308	-11.147374	
21	-1.722977	-1.714127	-0.553760	-0.544910	-10.989629	-10.981694	
22	-1.710619	-1.701769	-0.430176	-0.421326	-10.816611	-10.808677	
23	-1.697744	-1.688893	-0.301426	-0.292576	-10.636361	-10.628426	
24	-1.684360	-1.675510	-0.167586	-0.158736	-10.448985	-10.441051	
25	-1.670475	-1.661625	-0.028738	-0.019888	-10.254598	-10.246663	
26	-1.656098	-1.647247	0.115035	0.123885	-10.053316	-10.045382	
27	-1.641236	-1.632386	0.263646	0.272496	-9.845261	-9.837326	
28	-1.625900	-1.617050	0.417005	0.425856	-9.630557	-9.622622	
29	-1.610099	-1.601249	0.575022	0.583872	-9.409334	-9.401400	
30	-1.593841	-1.584991	0.737599	0.746449	-9.181726	-9.173792	
31	-1.577137	-1.568287	0.904639	0.913489	-8.947870	-8.939935	
32	-1.559997	-1.551147	1.076042	1.084892	-8.707906	-8.699971	
33	-1.542431	-1.533580	1.251705	1.260555	-8.461978	-8.454044	
34	-1.524449	-1.515599	1.431520	1.440371	-8.210236	-8.202301	
35	-1.506063	-1.497213	1.615382	1.624232	-7.952830	-7.944896	
36	-1.487283	-1.478433	1.803177	1.812027	-7.689917	-7.681982	
37	-1.468122	-1.459272	1.994794	2.003644	-7.421653	-7.413718	
38	-1.448589	-1.439739	2.190117	2.198967	-7.148201	-7.140266	
39	-1.428698	-1.419848	2.389028	2.397878	-6.869725	-6.861791	
40	-1.408460	-1.399610	2.591408	2.600258	-6.586394	-6.578459	
41	-1.387888	-1.379038	2.797134	2.805984	-6.298377	-6.290443	
42	-1.366993	-1.358143	3.006083	3.014933	-6.005849	-5.997914	
43	-1.345788	-1.336938	3.218128	3.226978	-5.708985	-5.701051	
44	-1.324287	-1.315437	3.433143	3.441993	-5.407965	-5.400030	
45	-1.302501	-1.293651	3.650997	3.659847	-5.102969	-5.095035	
46	-1.280445	-1.271595	3.871559	3.880409	-4.794182	-4.786247	
47	-1.258131	-1.249281	4.094697	4.103547	-4.481789	-4.473854	
48	-1.235573	-1.226723	4.320276	4.329126	-4.165979	-4.158044	
49	-1.212785	-1.203935	4.548160	4.557010	-3.846941	-3.839007	
50	-1.189780	-1.180930	4.778211	4.787062	-3.524869	-3.516934	
51	-1.166572	-1.157722	5.010293	5.019143	-3.199955	-3.192020	
52	-1.143175	-1.134325	5.244263	5.253113	-2.872396	-2.864462	
53	-1.119603	-1.110753	5.479982	5.488833	-2.542389	-2.534455	
54	-1.095870	-1.087020	5.717308	5.726158	-2.210133	-2.202199	
55	-1.071991	-1.063141	5.956098	5.964948	-1.875828	-1.867893	
56	-1.047980	-1.039130	6.196207	6.205057	-1.539675	-1.531741	
57	-1.023852	-1.015002	6.437491	6.446341	-1.201877	-1.193943	
58	-0.999620	-0.990770	6.679805	6.688655	-0.862637	-0.854703	
59	-0.975301	-0.966451	6.923003	6.931853	-0.522160	-0.514226	
60	-0.950907	-0.942057	7.166939	7.175789	-0.180651	-0.172716	
61	-0.926455	-0.917604	7.411464	7.420314	0.161685	0.169620	
62	-0.901958	-0.893108	7.656433	7.665283	0.504642	0.512576	
63	-0.877431	-0.868581	7.901698	7.910548	0.848012	0.855947	
64	-0.852890	-0.844040	8.147110	8.155960	1.191589	1.199524	
65	-0.828349	-0.819499	8.392522	8.401372	1.535167	1.543101	
