# n = 0.7 U  = 19.0 J = 4.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1        1.348000        0.700439        0.141785       -1.299671
       2        1.190000        0.699219        0.130188       -1.209630
       3        1.213000        0.699463        0.121277       -1.223971
       4        1.211000        0.699951        0.114441       -1.206872
       5        1.236000        0.699219        0.107483       -1.193732
       6        1.235000        0.699341        0.100464       -1.193215
       7        1.255000        0.700317        0.091919       -1.182748
       8        1.279000        0.699585        0.083740       -1.164660
       9        1.273000        0.699341        0.076050       -1.165216
      10        1.273000        0.699097        0.068604       -1.161960
      11        1.275000        0.699341        0.061401       -1.158490
      12        1.286000        0.699097        0.055420       -1.151484
      13        1.287000        0.699097        0.050293       -1.150888
      14        1.291000        0.699097        0.044922       -1.148451
      15        1.294000        0.699585        0.040527       -1.145236
      16        1.307000        0.699341        0.036011       -1.138302
      17        1.304000        0.699341        0.031860       -1.139174
      18        1.298000        0.699341        0.028198       -1.137500
      19        1.304000        0.699341        0.025757       -1.136359
      20        1.303000        0.699341        0.022583       -1.135405
      21        1.300000        0.699585        0.019531       -1.134658
      22        1.313000        0.699097        0.018311       -1.132307
      23        1.304000        0.699097        0.016602       -1.137366
      24        1.304000        0.699097        0.014648       -1.137062
      25        1.301000        0.699585        0.013428       -1.136104
      26        1.309000        0.699097        0.011719       -1.131261
      27        1.305000        0.699341        0.010864       -1.136051
      28        1.310000        0.699341        0.009888       -1.133295
      29        1.308000        0.699097        0.009033       -1.133507
      30        1.302000        0.699097        0.008545       -1.136072
      31        1.304000        0.700073        0.007568       -1.134751
      32        1.322000        0.699097        0.006592       -1.125337
      33        1.305000        0.699829        0.006226       -1.134914
      34        1.319000        0.699829        0.005737       -1.126925
      35        1.318000        0.699341        0.005005       -1.127240
      36        1.312000        0.699341        0.005005       -1.132501
      37        1.312000        0.699341        0.005005       -1.132501
