#    itr              mu            ntot            mtot            etot
       1       21.430664        3.300964        1.347085      -12.541526
       2        9.422247        3.300110       -0.742364        2.667124
       3       10.429111        3.299042        0.389450        6.167474
       4       10.856369        3.299683       -0.204728        7.285567
       5       10.982536        3.300415        0.107048        7.605368
       6       11.006136        3.300415       -0.055490        7.697784
       7       11.002841        3.299805        0.029024        7.714337
       8       11.008986        3.300751       -0.014634        7.726161
       9       11.020636        3.300110        0.008057        7.728856
      10       11.018785        3.300598       -0.004974        7.728744
      11       11.016750        3.299133        0.002762        7.716859
      12       11.014513        3.299927       -0.002029        7.713787
      13       11.021832        3.300659        0.001190        7.729289
