#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	16.038483	16.041473	16.038483	16.041473	4.398254	4.402527	
1	16.038784	16.041775	16.041494	16.044485	4.402471	4.406743	
2	16.039687	16.042678	16.050528	16.053519	4.415118	4.419390	
3	16.041192	16.044183	16.065578	16.068569	4.436188	4.440460	
4	16.043298	16.046289	16.086635	16.089626	4.465668	4.469941	
5	16.046003	16.048994	16.113687	16.116678	4.503541	4.507813	
6	16.049306	16.052297	16.146718	16.149708	4.549783	4.554056	
7	16.053205	16.056196	16.185706	16.188697	4.604367	4.608640	
8	16.057697	16.060688	16.230630	16.233621	4.667260	4.671533	
9	16.062781	16.065771	16.281461	16.284452	4.738425	4.742697	
10	16.068451	16.071442	16.338170	16.341161	4.817817	4.822089	
11	16.074707	16.077697	16.400722	16.403713	4.905389	4.909662	
12	16.081542	16.084533	16.469079	16.472070	5.001090	5.005362	
13	16.088954	16.091945	16.543201	16.546192	5.104860	5.109132	
14	16.096939	16.099929	16.623042	16.626033	5.216637	5.220910	
15	16.105490	16.108481	16.708555	16.711545	5.336355	5.340628	
16	16.114603	16.117594	16.799687	16.802678	5.463941	5.468213	
17	16.124273	16.127264	16.896385	16.899376	5.599318	5.603590	
18	16.134493	16.137484	16.998590	17.001580	5.742404	5.746677	
19	16.145258	16.148249	17.106240	17.109230	5.893114	5.897387	
20	16.156561	16.159552	17.219270	17.222261	6.051357	6.055629	
21	16.168396	16.171386	17.337613	17.340603	6.217037	6.221309	
22	16.180754	16.183745	17.461197	17.464187	6.390054	6.394326	
23	16.193629	16.196620	17.589947	17.592938	6.570304	6.574577	
24	16.207013	16.210004	17.723787	17.726777	6.757680	6.761952	
25	16.220898	16.223889	17.862635	17.865625	6.952067	6.956339	
26	16.235275	16.238266	18.006407	18.009398	7.153349	7.157621	
27	16.250136	16.253127	18.155018	18.158009	7.361404	7.365677	
28	16.265472	16.268463	18.308378	18.311369	7.576108	7.580381	
29	16.281274	16.284265	18.466394	18.469385	7.797331	7.801603	
30	16.297532	16.300522	18.628971	18.631962	8.024939	8.029211	
31	16.314236	16.317226	18.796012	18.799003	8.258795	8.263068	
32	16.331376	16.334367	18.967415	18.970406	8.498759	8.503032	
33	16.348942	16.351933	19.143077	19.146068	8.744687	8.748959	
34	16.366924	16.369914	19.322893	19.325884	8.996429	9.000701	
35	16.385310	16.388301	19.506754	19.509745	9.253835	9.258107	
36	16.404089	16.407080	19.694550	19.697541	9.516748	9.521021	
37	16.423251	16.426242	19.886167	19.889157	9.785012	9.789285	
38	16.442783	16.445774	20.081490	20.084480	10.058464	10.062737	
39	16.462674	16.465665	20.280401	20.283391	10.336940	10.341212	
40	16.482912	16.485903	20.482780	20.485771	10.620271	10.624544	
41	16.503485	16.506476	20.688506	20.691497	10.908288	10.912560	
42	16.524380	16.527371	20.897455	20.900446	11.200816	11.205088	
