#    itr              mu            ntot            mtot            etot
       1       62.143799        5.900208        0.050020      174.061178
       2       27.802814        5.900879       -0.037879      100.466207
       3       27.794178        5.899658        0.028886      100.449689
       4       27.788493        5.899414       -0.021333      100.424485
       5       27.789137        5.899658        0.016055      100.428737
       6       27.789806        5.900879       -0.013305      100.467653
       7       27.797040        5.900635        0.010209      100.482665
       8       27.794732        5.899902       -0.007767      100.458567
       9       27.789068        5.900391        0.006119      100.460296
      10       27.796274        5.899658       -0.005432      100.447622
      11       27.792303        5.900391        0.002960      100.455545
      12       27.786548        5.900391       -0.002411      100.467303
      13       27.793660        5.900879        0.002243      100.481791
