#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
229	19.463230	19.466251	21.368112	21.371133	19.910158	19.914416	-0.208581	-0.205560	1.696301	1.699322	-8.703384	-8.699127	
230	19.611841	19.614862	21.382973	21.385994	19.939881	19.944138	-0.223442	-0.220421	1.547690	1.550711	-8.911440	-8.907183	
231	19.755613	19.758635	21.397350	21.400371	19.968635	19.972892	-0.237819	-0.234798	1.403917	1.406938	-9.112722	-9.108465	
232	19.894461	19.897483	21.411235	21.414256	19.996405	20.000662	-0.251704	-0.248683	1.265069	1.268090	-9.307109	-9.302852	
233	20.028301	20.031322	21.424619	21.427640	20.023173	20.027430	-0.265088	-0.262067	1.131230	1.134251	-9.494484	-9.490227	
234	20.157051	20.160073	21.437494	21.440515	20.048923	20.053180	-0.277963	-0.274942	1.002479	1.005500	-9.674735	-9.670478	
235	20.280635	20.283656	21.449852	21.452874	20.073640	20.077897	-0.290322	-0.287300	0.878895	0.881917	-9.847752	-9.843495	
236	20.398978	20.401999	21.461687	21.464708	20.097308	20.101565	-0.302156	-0.299135	0.760553	0.763574	-10.013432	-10.009175	
237	20.512008	20.515030	21.472990	21.476011	20.119914	20.124171	-0.313459	-0.310438	0.647522	0.650544	-10.171675	-10.167417	
238	20.619658	20.622679	21.483755	21.486776	20.141444	20.145701	-0.324224	-0.321203	0.539872	0.542894	-10.322385	-10.318127	
239	20.721863	20.724884	21.493975	21.496996	20.161885	20.166142	-0.334444	-0.331423	0.437668	0.440689	-10.465471	-10.461214	
240	20.818561	20.821582	21.503645	21.506666	20.181225	20.185482	-0.344114	-0.341093	0.340970	0.343991	-10.600848	-10.596591	
241	20.909693	20.912715	21.512758	21.515779	20.199451	20.203708	-0.353227	-0.350206	0.249837	0.252859	-10.728434	-10.724176	
242	20.995206	20.998227	21.521309	21.524331	20.216554	20.220811	-0.361779	-0.358758	0.164325	0.167346	-10.848151	-10.843894	
243	21.075047	21.078068	21.529294	21.532315	20.232522	20.236779	-0.369763	-0.366742	0.084484	0.087505	-10.959929	-10.955672	
244	21.149169	21.152190	21.536706	21.539727	20.247346	20.251603	-0.377175	-0.374154	0.010362	0.013383	-11.063699	-11.059442	
245	21.217526	21.220547	21.543541	21.546563	20.261018	20.265275	-0.384011	-0.380990	-0.057995	-0.054974	-11.159399	-11.155142	
246	21.280078	21.283099	21.549797	21.552818	20.273528	20.277785	-0.390266	-0.387245	-0.120547	-0.117526	-11.246972	-11.242715	
247	21.336787	21.339808	21.555467	21.558489	20.284870	20.289127	-0.395937	-0.392916	-0.177256	-0.174235	-11.326364	-11.322107	
248	21.387618	21.390639	21.560551	21.563572	20.295036	20.299293	-0.401020	-0.397999	-0.228087	-0.225066	-11.397528	-11.393271	
249	21.432542	21.435563	21.565043	21.568064	20.304021	20.308278	-0.405512	-0.402491	-0.273011	-0.269990	-11.460421	-11.456164	
250	21.471530	21.474552	21.568942	21.571963	20.311819	20.316076	-0.409411	-0.406390	-0.312000	-0.308979	-11.515006	-11.510748	
251	21.504561	21.507582	21.572245	21.575266	20.318425	20.322682	-0.412714	-0.409693	-0.345030	-0.342009	-11.561248	-11.556991	
252	21.531613	21.534634	21.574950	21.577971	20.323835	20.328092	-0.415419	-0.412398	-0.372082	-0.369061	-11.599121	-11.594863	
253	21.552670	21.555691	21.577056	21.580077	20.328047	20.332304	-0.417525	-0.414504	-0.393139	-0.390118	-11.628601	-11.624344	
254	21.567720	21.570741	21.578561	21.581582	20.331056	20.335314	-0.419030	-0.416009	-0.408189	-0.405168	-11.649671	-11.645414	
255	21.576754	21.579775	21.579464	21.582485	20.332863	20.337120	-0.419933	-0.416912	-0.417223	-0.414202	-11.662318	-11.658061	
256	21.579765	21.582787	21.579765	21.582787	20.333466	20.337723	-0.420235	-0.417213	-0.420235	-0.417213	-11.666534	-11.662277	
