#    itr              mu            ntot            mtot            etot
       1      -25.901367        1.100037        0.550018      -34.564222
       2       -4.781298        1.100220       -0.418213      -10.422487
       3       -4.352911        1.099854        0.379333       -9.717618
       4       -4.411969        1.099121       -0.349915       -9.526084
       5       -4.450076        1.099854        0.328552       -9.395196
       6       -4.465443        1.100342       -0.311218       -9.301666
       7       -4.488709        1.100098        0.298157       -9.226268
       8       -4.513177        1.099609       -0.287903       -9.172383
       9       -4.522528        1.099091        0.278366       -9.131805
      10       -4.540985        1.099365       -0.271179       -9.099260
      11       -4.545339        1.100586        0.266174       -9.077457
      12       -4.548911        1.100586       -0.262268       -9.054868
      13       -4.557260        1.099854        0.258972       -9.037691
      14       -4.555976        1.099365       -0.255798       -9.026507
      15       -4.557637        1.100586        0.252258       -9.022804
      16       -4.558999        1.100861       -0.248734       -9.007471
      17       -4.565545        1.100342        0.246277       -8.992082
      18       -4.565486        1.100830       -0.244568       -8.987927
      19       -4.576308        1.099365        0.243835       -8.973644
      20       -4.583164        1.099609       -0.242981       -8.977729
