#    itr              mu            ntot            mtot            etot
       1       46.758000        4.099365        0.179016      151.886963
       2       46.820000        4.099121        0.102722      152.016073
       3       46.833000        4.099609        0.065125      152.068895
       4       46.850000        4.099121        0.045349      152.080857
       5       46.837000        4.099121        0.031921      152.067208
       6       46.842000        4.099121        0.024597      152.070313
       7       46.846000        4.099854        0.019592      152.106019
       8       46.860000        4.099854        0.014709      152.136781
       9       46.867000        4.099976        0.011841      152.143167
      10       46.866000        4.099976        0.009155      152.148492
      11       46.865000        4.099487        0.006958      152.125774
      12       46.858000        4.099487        0.005493      152.105935
      13       46.860000        4.099487        0.005005      152.105994
      14       46.860000        4.099487        0.004517      152.106045
      15       46.862000        4.099487        0.004028      152.106026
      16       46.862000        4.099976        0.002808      152.128924
      17       46.866000        4.099243        0.001465      152.114655
      18       46.857000        4.099243        0.000977      152.084680
      19       46.859000        4.099731        0.000732      152.107529
      20       46.861000        4.099243        0.000488      152.104678
      21       46.856000        4.099243        0.000488      152.084651
      22       46.856000        4.099243        0.000488      152.084651
