#    itr              mu            ntot            mtot            etot
       1       61.668000        4.399414        0.292664      227.359951
       2       61.736000        4.399414        0.201843      227.622900
       3       61.778000        4.399170        0.146790      227.725341
       4       61.765000        4.399414        0.109558      227.783391
       5       61.739000        4.399048        0.081421      227.807010
       6       61.725000        4.399048        0.058716      227.805157
       7       61.717000        4.399780        0.042236      227.861584
       8       61.730000        4.399780        0.031982      227.907920
       9       61.733000        4.400269        0.023682      227.940860
      10       61.733000        4.399292        0.017822      227.908983
      11       61.719000        4.399292        0.013184      227.856341
      12       61.715000        4.400024        0.009399      227.901907
      13       61.728000        4.399780        0.006836      227.927509
      14       61.727000        4.399292        0.004639      227.883769
      15       61.717000        4.399048        0.002563      227.842200
      16       61.709000        4.399292        0.001465      227.843504
      17       61.711000        4.399780        0.001221      227.887288
      18       61.717000        4.399292        0.000977      227.883978
      19       61.712000        4.399780        0.000732      227.887290
      20       61.719000        4.399780        0.000732      227.914206
      21       61.718000        4.399292        0.000488      227.883982
      22       61.713000        4.399292        0.000488      227.857161
      23       61.713000        4.399292        0.000488      227.857161
