#    itr              mu            ntot            mtot            etot
       1       31.889648        3.299500        1.347798      -15.363154
       2       11.440331        3.300690       -1.077263        7.647053
       3       12.030850        3.300354        0.797668       11.040023
       4       12.598222        3.299286       -0.578612       13.619580
       5       13.144274        3.300354        0.410919       15.134664
       6       13.377677        3.299805       -0.281225       15.961151
       7       13.622697        3.299377        0.198457       16.401055
       8       13.676643        3.299133       -0.139494       16.583054
       9       13.728904        3.299316        0.097629       16.685825
      10       13.735780        3.300201       -0.068291       16.749184
      11       13.755637        3.300903        0.048828       16.794410
      12       13.764628        3.300385       -0.034375       16.804223
      13       13.749399        3.300964        0.023377       16.813710
      14       13.757897        3.300354       -0.015442       16.815094
      15       13.767066        3.300629        0.010330       16.813645
      16       13.776961        3.299896       -0.007690       16.808696
      17       13.762684        3.300751        0.006500       16.811148
      18       13.759769        3.299408       -0.006088       16.801923
