#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
152	2.377728	2.346940	18.860955	18.830167	15.868767	15.832611	0.523894	0.493106	17.007121	16.976333	13.172269	13.136113	
153	2.516576	2.485788	18.874840	18.844052	15.896536	15.860380	0.510009	0.479221	16.868273	16.837485	12.977882	12.941727	
154	2.660349	2.629561	18.889217	18.858429	15.925290	15.889134	0.495632	0.464844	16.724500	16.693712	12.776601	12.740445	
155	2.808960	2.778172	18.904079	18.873290	15.955012	15.918856	0.480771	0.449983	16.575889	16.545101	12.568546	12.532390	
156	2.962320	2.931532	18.919414	18.888626	15.985683	15.949528	0.465435	0.434647	16.422530	16.391741	12.353842	12.317687	
157	3.120336	3.089548	18.935216	18.904428	16.017286	15.981131	0.449633	0.418845	16.264513	16.233725	12.132620	12.096464	
158	3.282913	3.252125	18.951474	18.920685	16.049802	16.013646	0.433376	0.402587	16.101936	16.071148	11.905012	11.868857	
159	3.449954	3.419165	18.968178	18.937389	16.083209	16.047054	0.416672	0.385883	15.934896	15.904107	11.671156	11.635000	
160	3.621357	3.590568	18.985318	18.954530	16.117490	16.081334	0.399531	0.368743	15.763493	15.732704	11.431192	11.395036	
161	3.797019	3.766231	19.002884	18.972096	16.152622	16.116466	0.381965	0.351177	15.587830	15.557042	11.185265	11.149109	
162	3.976835	3.946047	19.020866	18.990078	16.188585	16.152429	0.363984	0.333195	15.408015	15.377226	10.933523	10.897367	
163	4.160696	4.129908	19.039252	19.008464	16.225357	16.189201	0.345597	0.314809	15.224153	15.193365	10.676117	10.639962	
164	4.348492	4.317703	19.058032	19.027243	16.262916	16.226760	0.326818	0.296029	15.036358	15.005569	10.413204	10.377048	
165	4.540109	4.509320	19.077193	19.046405	16.301239	16.265084	0.307656	0.276868	14.844741	14.813953	10.144940	10.108784	
166	4.735431	4.704643	19.096726	19.065937	16.340304	16.304148	0.288124	0.257335	14.649418	14.618630	9.871488	9.835332	
167	4.934343	4.903554	19.116617	19.085828	16.380086	16.343930	0.268233	0.237444	14.450507	14.419719	9.593013	9.556857	
