#    itr              mu            ntot            mtot            etot
       1       69.244000        4.099060        1.900940       53.284794
       2       24.459000        4.099060       -1.798645       61.687072
       3       24.509000        4.099060        1.726868       62.315192
       4       24.560000        4.099060       -1.675598       62.744095
       5       24.604000        4.099487        1.635986       63.052388
       6       24.680000        4.099976       -1.606689       63.298457
       7       24.716000        4.099487        1.578857       63.459690
       8       24.750000        4.099487       -1.551025       63.601953
       9       24.803000        4.099731        1.530762       63.758172
      10       24.833000        4.099487       -1.513916       63.864999
      11       24.858000        4.099243        1.500977       63.942879
      12       24.866000        4.099487       -1.483154       64.011706
      13       24.890000        4.099243        1.468750       64.102546
      14       24.911000        4.099731       -1.455566       64.183494
      15       24.938000        4.099243        1.443359       64.248097
      16       24.959000        4.099243       -1.437500       64.299653
      17       24.969000        4.099243        1.432617       64.329185
      18       24.980000        4.099243       -1.428711       64.353678
      19       24.981000        4.099243        1.423828       64.373110
      20       24.989000        4.100708       -1.419434       64.433994
      21       25.003000        4.099243        1.414062       64.449194
      22       25.006000        4.099487       -1.409912       64.451753
      23       25.006000        4.099731        1.405273       64.483361
      24       25.018000        4.099487       -1.401611       64.505098
      25       25.022000        4.099976        1.399170       64.530379
      26       25.029000        4.099243       -1.395508       64.533991
      27       25.021000        4.099976        1.390869       64.555275
      28       25.029000        4.099487       -1.385498       64.580462
      29       25.042000        4.099487        1.382568       64.596388
      30       25.049000        4.099487       -1.380615       64.610450
      31       25.050000        4.099243        1.377441       64.613848
      32       25.051000        4.099487       -1.375244       64.630376
      33       25.057000        4.099243        1.372070       64.639805
      34       25.062000        4.099243       -1.370117       64.650028
      35       25.064000        4.099243        1.368164       64.659249
      36       25.069000        4.099487       -1.366455       64.674702
      37       25.070000        4.099487        1.365479       64.687835
      38       25.067000        4.099243       -1.365234       64.686399
      39       25.065000        4.099243        1.365234       64.682566
      40       25.065000        4.099243       -1.365234       64.682566
