#    itr              mu            ntot            mtot            etot
       1       70.058000        4.699585        0.376099      281.844953
       2       70.183000        4.699219        0.286560      282.100045
       3       70.253000        4.700195        0.223083      282.337132
       4       70.256000        4.699097        0.167236      282.416183
       5       70.254000        4.699585        0.125732      282.458310
       6       70.268000        4.699341        0.093628      282.508111
       7       70.269000        4.699097        0.068848      282.500725
       8       70.264000        4.699829        0.049683      282.548530
       9       70.276000        4.699097        0.037354      282.551464
      10       70.271000        4.699341        0.028198      282.525739
      11       70.270000        4.699585        0.019775      282.560197
      12       70.279000        4.700073        0.014648      282.611434
      13       70.283000        4.699829        0.010864      282.625286
      14       70.273000        4.699341        0.008179      282.576000
      15       70.264000        4.700806        0.005737      282.648554
      16       70.285000        4.699097        0.004150      282.620030
      17       70.265000        4.699097        0.002686      282.512703
      18       70.267000        4.699585        0.001465      282.547038
      19       70.272000        4.699097        0.000488      282.543277
      20       70.266000        4.699585        0.000244      282.547134
      21       70.272000        4.699585        0.000244      282.577676
      22       70.272000        4.699585        0.000244      282.577676
