#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
122	-1.589620	-1.568990	16.312969	16.333599	13.732260	13.743369	
123	-1.586317	-1.565687	16.345999	16.366629	13.778503	13.789611	
124	-1.583612	-1.562982	16.373051	16.393681	13.816375	13.827484	
125	-1.581506	-1.560876	16.394108	16.414738	13.845855	13.856964	
126	-1.580001	-1.559371	16.409158	16.429788	13.866925	13.878034	
127	-1.579098	-1.558468	16.418192	16.438822	13.879573	13.890681	
128	-1.578796	-1.558167	16.421204	16.441833	13.883789	13.894897	
129	-1.575785	-1.555155	16.421505	16.442135	13.884391	13.895500	
130	-1.566751	-1.546121	16.422408	16.443038	13.886198	13.897307	
131	-1.551701	-1.531071	16.423913	16.444543	13.889208	13.900317	
132	-1.530644	-1.510014	16.426019	16.446649	13.893420	13.904528	
133	-1.503592	-1.482962	16.428724	16.449354	13.898830	13.909938	
134	-1.470561	-1.449932	16.432027	16.452657	13.905436	13.916544	
135	-1.431573	-1.410943	16.435926	16.456556	13.913234	13.924342	
136	-1.386649	-1.366019	16.440418	16.461048	13.922219	13.933327	
137	-1.335818	-1.315188	16.445501	16.466131	13.932385	13.943493	
138	-1.279109	-1.258479	16.451172	16.471802	13.943727	13.954835	
139	-1.216557	-1.195927	16.457428	16.478057	13.956237	13.967345	
140	-1.148200	-1.127570	16.464263	16.484893	13.969908	13.981017	
141	-1.074078	-1.053448	16.471675	16.492305	13.984733	13.995841	
142	-0.994237	-0.973607	16.479660	16.500289	14.000701	14.011809	
143	-0.908724	-0.888094	16.488211	16.508841	14.017803	14.028912	
144	-0.817592	-0.796962	16.497324	16.517954	14.036030	14.047138	
145	-0.720894	-0.700264	16.506994	16.527624	14.055370	14.066478	
146	-0.618689	-0.598059	16.517214	16.537844	14.075810	14.086919	
147	-0.511039	-0.490410	16.527979	16.548609	14.097340	14.108449	
148	-0.398009	-0.377379	16.539282	16.559912	14.119947	14.131055	
149	-0.279666	-0.259036	16.551117	16.571747	14.143615	14.154723	
150	-0.156082	-0.135453	16.563475	16.584105	14.168332	14.179440	
151	-0.027332	-0.006702	16.576350	16.596980	14.194082	14.205190	
152	0.106507	0.127137	16.589734	16.610364	14.220850	14.231958	
153	0.245355	0.265985	16.603619	16.624249	14.248619	14.259728	
154	0.389128	0.409758	16.617996	16.638626	14.277374	14.288482	
155	0.537739	0.558369	16.632857	16.653487	14.307096	14.318205	
156	0.691099	0.711729	16.648193	16.668823	14.337768	14.348877	
157	0.849115	0.869745	16.663995	16.684625	14.369371	14.380480	
158	1.011692	1.032322	16.680252	16.700882	14.401887	14.412995	
159	1.178733	1.199363	16.696957	16.717586	14.435295	14.446403	
160	1.350136	1.370766	16.714097	16.734727	14.469576	14.480684	
161	1.525798	1.546428	16.731663	16.752293	14.504708	14.515816	
162	1.705614	1.726244	16.749645	16.770275	14.540671	14.551780	
163	1.889475	1.910105	16.768031	16.788661	14.577443	14.588552	
164	2.077271	2.097901	16.786810	16.807440	14.615002	14.626111	
165	2.268888	2.289518	16.805972	16.826602	14.653326	14.664434	
166	2.464211	2.484840	16.825504	16.846134	14.692390	14.703499	
167	2.663122	2.683752	16.845395	16.866025	14.732173	14.743281	
168	2.865501	2.886131	16.865633	16.886263	14.772649	14.783757	
169	3.071227	3.091857	16.886206	16.906836	14.813794	14.824902	
170	3.280176	3.300806	16.907101	16.927731	14.855584	14.866692	
171	3.492222	3.512852	16.928305	16.948935	14.897993	14.909101	
172	3.707236	3.727866	16.949807	16.970437	14.940996	14.952104	
173	3.925090	3.945720	16.971592	16.992222	14.984566	14.995675	
174	4.145653	4.166283	16.993649	17.014278	15.028679	15.039787	
175	4.368790	4.389420	17.015962	17.036592	15.073306	15.084415	
176	4.594369	4.614999	17.038520	17.059150	15.118422	15.129531	
177	4.822253	4.842883	17.061309	17.081938	15.163999	15.175107	
178	5.052305	5.072935	17.084314	17.104944	15.210009	15.221118	
179	5.284386	5.305016	17.107522	17.128152	15.256426	15.267534	
180	5.518357	5.538987	17.130919	17.151549	15.303220	15.314328	
181	5.754076	5.774706	17.154491	17.175121	15.350364	15.361472	
182	5.991402	6.012032	17.178223	17.198853	15.397829	15.408937	
183	6.230191	6.250821	17.202102	17.222732	15.445587	15.456695	
184	6.470300	6.490930	17.226113	17.246743	15.493608	15.504717	
185	6.711585	6.732215	17.250242	17.270872	15.541865	15.552974	
186	6.953899	6.974529	17.274473	17.295103	15.590328	15.601437	
187	7.197097	7.217727	17.298793	17.319423	15.638968	15.650076	
188	7.441032	7.461662	17.323186	17.343816	15.687755	15.698863	
189	7.685558	7.706188	17.347639	17.368269	15.736660	15.747768	
190	7.930527	7.951157	17.372136	17.392766	15.785654	15.796762	
191	8.175791	8.196421	17.396662	17.417292	15.834707	15.845815	
192	8.421204	8.441833	17.421204	17.441833	15.883789	15.894897	
193	8.666616	8.687246	17.445745	17.466375	15.932872	15.943980	
194	8.911880	8.932510	17.470271	17.490901	15.981924	15.993033	
195	9.156849	9.177479	17.494768	17.515398	16.030918	16.042027	
196	9.401375	9.422005	17.519221	17.539851	16.079823	16.090932	
197	9.645310	9.665940	17.543614	17.564244	16.128610	16.139719	
198	9.888508	9.909138	17.567934	17.588564	16.177250	16.188358	
199	10.130823	10.151452	17.592166	17.612795	16.225713	16.236821	
200	10.372107	10.392737	17.616294	17.636924	16.273970	16.285078	
201	10.612216	10.632846	17.640305	17.660935	16.321992	16.333100	
202	10.851005	10.871635	17.664184	17.684814	16.369749	16.380858	
203	11.088331	11.108961	17.687916	17.708546	16.417215	16.428323	
204	11.324050	11.344680	17.711488	17.732118	16.464358	16.475467	
205	11.558021	11.578651	17.734885	17.755515	16.511153	16.522261	
206	11.790102	11.810732	17.758093	17.778723	16.557569	16.568677	
207	12.020154	12.040784	17.781099	17.801729	16.603579	16.614688	
208	12.248038	12.268668	17.803887	17.824517	16.649156	16.660264	
209	12.473617	12.494247	17.826445	17.847075	16.694272	16.705380	
210	12.696755	12.717384	17.848759	17.869389	16.738899	16.750008	
211	12.917317	12.937947	17.870815	17.891445	16.783012	16.794120	
212	13.135171	13.155801	17.892600	17.913230	16.826583	16.837691	
213	13.350186	13.370815	17.914102	17.934732	16.869585	16.880694	
214	13.562231	13.582861	17.935306	17.955936	16.911995	16.923103	
215	13.771180	13.791810	17.956201	17.976831	16.953784	16.964893	
216	13.976906	13.997536	17.976774	17.997404	16.994930	17.006038	
217	14.179286	14.199915	17.997012	18.017642	17.035405	17.046514	
218	14.378197	14.398827	18.016903	18.037533	17.075188	17.086296	
219	14.573520	14.594149	18.036435	18.057065	17.114252	17.125361	
220	14.765136	14.785766	18.055597	18.076227	17.152576	17.163684	
221	14.952932	14.973562	18.074376	18.095006	17.190135	17.201243	
222	15.136793	15.157423	18.092763	18.113392	17.226907	17.238015	
223	15.316609	15.337239	18.110744	18.131374	17.262870	17.273979	
224	15.492271	15.512901	18.128310	18.148940	17.298003	17.309111	
225	15.663674	15.684304	18.145451	18.166081	17.332283	17.343392	
226	15.830715	15.851345	18.162155	18.182785	17.365691	17.376800	
227	15.993292	16.013922	18.178412	18.199042	17.398207	17.409315	
228	16.151308	16.171938	18.194214	18.214844	17.429810	17.440918	
229	16.304668	16.325298	18.209550	18.230180	17.460482	17.471590	
230	16.453279	16.473909	18.224411	18.245041	17.490204	17.501313	
231	16.597052	16.617682	18.238788	18.259418	17.518959	17.530067	
232	16.735900	16.756530	18.252673	18.273303	17.546728	17.557837	
233	16.869739	16.890369	18.266057	18.286687	17.573496	17.584605	
234	16.998490	17.019120	18.278932	18.299562	17.599246	17.610355	
235	17.122074	17.142703	18.291291	18.311920	17.623963	17.635071	
236	17.240416	17.261046	18.303125	18.323755	17.647632	17.658740	
237	17.353447	17.374077	18.314428	18.335058	17.670238	17.681346	
238	17.461097	17.481726	18.325193	18.345823	17.691768	17.702876	
239	17.563301	17.583931	18.335413	18.356043	17.712209	17.723317	
240	17.659999	17.680629	18.345083	18.365713	17.731548	17.742657	
241	17.751132	17.771761	18.354196	18.374826	17.749775	17.760883	
242	17.836644	17.857274	18.362748	18.383378	17.766877	17.777986	
243	17.916485	17.937115	18.370732	18.391362	17.782845	17.793954	
244	17.990607	18.011237	18.378144	18.398774	17.797670	17.808778	
245	18.058964	18.079594	18.384980	18.405610	17.811341	17.822450	
246	18.121516	18.142146	18.391235	18.411865	17.823852	17.834960	
247	18.178225	18.198855	18.396906	18.417536	17.835193	17.846302	
248	18.229056	18.249686	18.401989	18.422619	17.845360	17.856468	
249	18.273980	18.294610	18.406481	18.427111	17.854344	17.865453	
250	18.312969	18.333599	18.410380	18.431010	17.862142	17.873250	
251	18.345999	18.366629	18.413683	18.434313	17.868748	17.879857	
252	18.373051	18.393681	18.416388	18.437018	17.874159	17.885267	
253	18.394108	18.414738	18.418494	18.439124	17.878370	17.889478	
254	18.409158	18.429788	18.419999	18.440629	17.881380	17.892488	
255	18.418192	18.438822	18.420902	18.441532	17.883187	17.894295	
256	18.421204	18.441833	18.421204	18.441833	17.883789	17.894897	
257	18.415963	18.436593	18.419818	18.440448	17.882584	17.893692	
258	18.400249	18.420879	18.415658	18.436288	17.878962	17.890071	
259	18.374081	18.394711	18.408716	18.429346	17.872907	17.884015	
260	18.337492	18.358122	18.398979	18.419609	17.864389	17.875497	
261	18.290528	18.311158	18.386428	18.407058	17.853368	17.864476	
262	18.233250	18.253880	18.371041	18.391671	17.839792	17.850901	
263	18.165728	18.186358	18.352787	18.373417	17.823599	17.834708	
264	18.088049	18.108679	18.331634	18.352264	17.804715	17.815823	
265	18.000310	18.020940	18.307544	18.328174	17.783055	17.794164	
266	17.902621	17.923251	18.280473	18.301103	17.758525	17.769634	
267	17.795106	17.815736	18.250375	18.271004	17.731020	17.742129	
268	17.677899	17.698529	18.217196	18.237826	17.700426	17.711534	
