#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
275	42.437578	9.518144	43.731340	10.811906	42.666864	9.760614	22.175093	-10.744340	23.468855	-9.450578	13.661528	-19.244722	
276	42.252836	9.333403	43.675012	10.755578	42.609068	9.702818	22.231422	-10.688012	23.653597	-9.265837	13.960099	-18.946151	
277	42.060389	9.140956	43.615260	10.695827	42.546985	9.640735	22.291173	-10.628261	23.846044	-9.073390	14.270987	-18.635263	
278	41.860490	8.941057	43.552021	10.632587	42.480441	9.574191	22.354413	-10.565021	24.045943	-8.873491	14.593767	-18.312483	
279	41.653403	8.733969	43.485227	10.565793	42.409259	9.503009	22.421206	-10.498227	24.253030	-8.666403	14.927999	-17.978251	
280	41.439401	8.519967	43.414814	10.495380	42.333260	9.427010	22.491619	-10.427815	24.467032	-8.452402	15.273227	-17.633023	
281	41.218767	8.299333	43.340719	10.421286	42.252265	9.346015	22.565714	-10.353720	24.687666	-8.231767	15.628984	-17.277266	
282	40.991792	8.072359	43.262882	10.343448	42.166092	9.259842	22.643552	-10.275882	24.914641	-8.004793	15.994787	-16.911463	
283	40.758778	7.839345	43.181242	10.261808	42.074564	9.168314	22.725191	-10.194242	25.147655	-7.771779	16.370143	-16.536107	
284	40.520034	7.600600	43.095745	10.176311	41.977503	9.071253	22.810688	-10.108745	25.386399	-7.533034	16.754543	-16.151707	
285	40.275877	7.356443	43.006339	10.086906	41.874733	8.968483	22.900094	-10.019340	25.630556	-7.288877	17.147472	-15.758778	
286	40.026634	7.107200	42.912979	9.993545	41.766085	8.859835	22.993454	-9.925979	25.879799	-7.039634	17.548400	-15.357850	
287	39.772639	6.853206	42.815623	9.896189	41.651391	8.745141	23.090810	-9.828623	26.133794	-6.785640	17.956791	-14.949459	
288	39.514237	6.594804	42.714238	9.794804	41.530493	8.624243	23.192196	-9.727238	26.392196	-6.527238	18.372094	-14.534156	
289	39.251780	6.332346	42.608796	9.689363	41.403239	8.496989	23.297637	-9.621797	26.654653	-6.264780	18.793755	-14.112495	
290	38.985627	6.066193	42.499282	9.579848	41.269486	8.363236	23.407151	-9.512282	26.920806	-5.998627	19.221205	-13.685045	
291	38.716149	5.796716	42.385687	9.466253	41.129100	8.222850	23.520746	-9.398687	27.190284	-5.729150	19.653871	-13.252379	
