# n = 4.5 U  = 16.0 J = 4.000 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       66.172231        4.500183        0.709503      253.182477
       2       66.587612        4.500122        0.493652      255.170649
       3       66.927912        4.500000        0.356873      255.870108
       4       67.043002        4.500244        0.265686      256.217759
       5       67.092302        4.500000        0.202332      256.395043
       6       67.075302        4.500000        0.158386      256.480304
       7       67.061011        4.500366        0.121338      256.561744
       8       67.058435        4.500122        0.092896      256.606195
       9       67.036392        4.500122        0.069946      256.614155
      10       67.033076        4.500366        0.052002      256.644528
      11       67.040278        4.500122        0.038696      256.650933
      12       67.034160        4.500122        0.028198      256.640526
      13       67.035839        4.500122        0.021606      256.642798
      14       67.033953        4.500122        0.015747      256.644335
      15       67.036787        4.500366        0.011963      256.661522
      16       67.033542        4.500366        0.009033      256.676452
      17       67.032359        4.500366        0.006592      256.676647
      18       67.033847        4.500122        0.005737      256.660305
      19       67.028494        4.500122        0.005249      256.645655
      20       67.027790        4.500122        0.004761      256.645668
      21       67.027674        4.500122        0.004272      256.645567
      22       67.031201        4.500122        0.003784      256.645707
      23       67.031926        4.500122        0.003296      256.645613
      24       67.030359        4.500366        0.002930      256.662113
      25       67.032628        4.500366        0.002441      256.676689
      26       67.032139        4.500366        0.002441      256.676822
      27       67.032139        4.500366        0.002441      256.676822
