# n = 1.6 U  = 19.0 J = 4.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       18.998806        1.600220        0.197754       23.776899
       2       18.948673        1.600220        0.102051       24.087806
       3       18.891618        1.600220        0.054687       24.159024
       4       18.897265        1.600220        0.028076       24.179974
       5       18.887265        1.599976        0.014282       24.181779
       6       18.881651        1.600220        0.007080       24.181628
       7       18.887771        1.600220        0.003174       24.188112
       8       18.895298        1.600220        0.001709       24.188213
       9       18.902713        1.600220        0.001221       24.188242
      10       18.903256        1.600220        0.001221       24.188249
      11       18.903256        1.600220        0.001221       24.188249
