#    itr              mu            ntot            mtot            etot
       1      -10.684570        2.199127        1.096832      -45.051094
       2        5.796642        2.200470       -0.889815       -8.006860
       3        5.658539        2.199402        0.679504       -5.523196
       4        5.259054        2.200897       -0.480515       -3.638581
       5        5.190722        2.199768        0.314789       -2.387647
       6        5.009222        2.200287       -0.210678       -1.688572
       7        5.003697        2.200531        0.139023       -1.394126
       8        5.012441        2.200806       -0.092041       -1.260355
       9        4.992041        2.199341        0.061035       -1.208941
      10        4.990051        2.199188       -0.039963       -1.197220
      11        5.003150        2.199127        0.025436       -1.187619
      12        5.003938        2.200378       -0.016632       -1.176982
      13        4.997102        2.200195        0.012146       -1.165582
      14        4.992474        2.200317       -0.010010       -1.166047
      15        4.990593        2.200317        0.007080       -1.164861
      16        4.988241        2.199341       -0.004639       -1.169244
      17        4.985301        2.199554        0.003281       -1.176103
      18        4.989410        2.199829       -0.001953       -1.172849
      19        4.994554        2.200806        0.001465       -1.165651
