# n = 1.0 U  = 6.0 J = 1.500 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       -3.810000        0.999268        0.072449       -6.732368
       2       -3.875000        0.999146        0.024902       -6.707852
       3       -3.883000        0.999146        0.007568       -6.706251
       4       -3.884000        0.999146        0.003174       -6.705982
       5       -3.880000        0.999146        0.001709       -6.705942
       6       -3.881000        0.999634        0.000977       -6.707796
       7       -3.879000        0.999146        0.000732       -6.703472
       8       -3.881000        0.999146        0.000732       -6.705899
       9       -3.881000        0.999146        0.000732       -6.705899
