#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-11.000000	-11.000000	-11.000000	-11.000000	-22.000000	-22.000000	11.000000	11.000000	11.000000	11.000000	10.000000	10.000000	
1	-10.999699	-10.999699	-10.996988	-10.996988	-21.995783	-21.995783	10.996988	10.996988	10.999699	10.999699	9.999398	9.999398	
2	-10.998795	-10.998795	-10.987955	-10.987955	-21.983136	-21.983136	10.987955	10.987955	10.998795	10.998795	9.997591	9.997591	
3	-10.997290	-10.997290	-10.972905	-10.972905	-21.962066	-21.962066	10.972905	10.972905	10.997290	10.997290	9.994581	9.994581	
4	-10.995185	-10.995185	-10.951847	-10.951847	-21.932586	-21.932586	10.951847	10.951847	10.995185	10.995185	9.990369	9.990369	
5	-10.992480	-10.992480	-10.924795	-10.924795	-21.894713	-21.894713	10.924795	10.924795	10.992480	10.992480	9.984959	9.984959	
6	-10.989177	-10.989177	-10.891765	-10.891765	-21.848471	-21.848471	10.891765	10.891765	10.989177	10.989177	9.978353	9.978353	
7	-10.985278	-10.985278	-10.852776	-10.852776	-21.793887	-21.793887	10.852776	10.852776	10.985278	10.985278	9.970555	9.970555	
8	-10.980785	-10.980785	-10.807853	-10.807853	-21.730994	-21.730994	10.807853	10.807853	10.980785	10.980785	9.961571	9.961571	
9	-10.975702	-10.975702	-10.757021	-10.757021	-21.659830	-21.659830	10.757021	10.757021	10.975702	10.975702	9.951404	9.951404	
10	-10.970031	-10.970031	-10.700313	-10.700313	-21.580438	-21.580438	10.700313	10.700313	10.970031	10.970031	9.940063	9.940063	
11	-10.963776	-10.963776	-10.637761	-10.637761	-21.492865	-21.492865	10.637761	10.637761	10.963776	10.963776	9.927552	9.927552	
12	-10.956940	-10.956940	-10.569403	-10.569403	-21.397165	-21.397165	10.569403	10.569403	10.956940	10.956940	9.913881	9.913881	
13	-10.949528	-10.949528	-10.495282	-10.495282	-21.293395	-21.293395	10.495282	10.495282	10.949528	10.949528	9.899056	9.899056	
14	-10.941544	-10.941544	-10.415441	-10.415441	-21.181617	-21.181617	10.415441	10.415441	10.941544	10.941544	9.883088	9.883088	
15	-10.932993	-10.932993	-10.329928	-10.329928	-21.061899	-21.061899	10.329928	10.329928	10.932993	10.932993	9.865986	9.865986	
16	-10.923880	-10.923880	-10.238795	-10.238795	-20.934313	-20.934313	10.238795	10.238795	10.923880	10.923880	9.847759	9.847759	
17	-10.914210	-10.914210	-10.142098	-10.142098	-20.798937	-20.798937	10.142098	10.142098	10.914210	10.914210	9.828420	9.828420	
18	-10.903989	-10.903989	-10.039893	-10.039893	-20.655850	-20.655850	10.039893	10.039893	10.903989	10.903989	9.807979	9.807979	
19	-10.893224	-10.893224	-9.932243	-9.932243	-20.505140	-20.505140	9.932243	9.932243	10.893224	10.893224	9.786449	9.786449	
20	-10.881921	-10.881921	-9.819213	-9.819213	-20.346898	-20.346898	9.819213	9.819213	10.881921	10.881921	9.763843	9.763843	
21	-10.870087	-10.870087	-9.700870	-9.700870	-20.181218	-20.181218	9.700870	9.700870	10.870087	10.870087	9.740174	9.740174	
22	-10.857729	-10.857729	-9.577286	-9.577286	-20.008201	-20.008201	9.577286	9.577286	10.857729	10.857729	9.715457	9.715457	
23	-10.844854	-10.844854	-9.448536	-9.448536	-19.827950	-19.827950	9.448536	9.448536	10.844854	10.844854	9.689707	9.689707	
24	-10.831470	-10.831470	-9.314696	-9.314696	-19.640575	-19.640575	9.314696	9.314696	10.831470	10.831470	9.662939	9.662939	
25	-10.817585	-10.817585	-9.175848	-9.175848	-19.446187	-19.446187	9.175848	9.175848	10.817585	10.817585	9.635170	9.635170	
26	-10.803208	-10.803208	-9.032075	-9.032075	-19.244905	-19.244905	9.032075	9.032075	10.803208	10.803208	9.606415	9.606415	
27	-10.788346	-10.788346	-8.883464	-8.883464	-19.036850	-19.036850	8.883464	8.883464	10.788346	10.788346	9.576693	9.576693	
28	-10.773010	-10.773010	-8.730105	-8.730105	-18.822146	-18.822146	8.730105	8.730105	10.773010	10.773010	9.546021	9.546021	
29	-10.757209	-10.757209	-8.572088	-8.572088	-18.600924	-18.600924	8.572088	8.572088	10.757209	10.757209	9.514418	9.514418	
30	-10.740951	-10.740951	-8.409511	-8.409511	-18.373316	-18.373316	8.409511	8.409511	10.740951	10.740951	9.481902	9.481902	
31	-10.724247	-10.724247	-8.242471	-8.242471	-18.139459	-18.139459	8.242471	8.242471	10.724247	10.724247	9.448494	9.448494	
32	-10.707107	-10.707107	-8.071068	-8.071068	-17.899495	-17.899495	8.071068	8.071068	10.707107	10.707107	9.414214	9.414214	
33	-10.689541	-10.689541	-7.895405	-7.895405	-17.653568	-17.653568	7.895405	7.895405	10.689541	10.689541	9.379081	9.379081	
34	-10.671559	-10.671559	-7.715590	-7.715590	-17.401825	-17.401825	7.715590	7.715590	10.671559	10.671559	9.343118	9.343118	
35	-10.653173	-10.653173	-7.531728	-7.531728	-17.144420	-17.144420	7.531728	7.531728	10.653173	10.653173	9.306346	9.306346	
36	-10.634393	-10.634393	-7.343933	-7.343933	-16.881506	-16.881506	7.343933	7.343933	10.634393	10.634393	9.268787	9.268787	
37	-10.615232	-10.615232	-7.152316	-7.152316	-16.613242	-16.613242	7.152316	7.152316	10.615232	10.615232	9.230463	9.230463	
38	-10.595699	-10.595699	-6.956993	-6.956993	-16.339790	-16.339790	6.956993	6.956993	10.595699	10.595699	9.191399	9.191399	
39	-10.575808	-10.575808	-6.758082	-6.758082	-16.061315	-16.061315	6.758082	6.758082	10.575808	10.575808	9.151616	9.151616	
40	-10.555570	-10.555570	-6.555702	-6.555702	-15.777983	-15.777983	6.555702	6.555702	10.555570	10.555570	9.111140	9.111140	
41	-10.534998	-10.534998	-6.349976	-6.349976	-15.489967	-15.489967	6.349976	6.349976	10.534998	10.534998	9.069995	9.069995	
42	-10.514103	-10.514103	-6.141027	-6.141027	-15.197438	-15.197438	6.141027	6.141027	10.514103	10.514103	9.028205	9.028205	
43	-10.492898	-10.492898	-5.928982	-5.928982	-14.900575	-14.900575	5.928982	5.928982	10.492898	10.492898	8.985796	8.985796	
44	-10.471397	-10.471397	-5.713967	-5.713967	-14.599554	-14.599554	5.713967	5.713967	10.471397	10.471397	8.942793	8.942793	
45	-10.449611	-10.449611	-5.496113	-5.496113	-14.294559	-14.294559	5.496113	5.496113	10.449611	10.449611	8.899223	8.899223	
46	-10.427555	-10.427555	-5.275551	-5.275551	-13.985771	-13.985771	5.275551	5.275551	10.427555	10.427555	8.855110	8.855110	
47	-10.405241	-10.405241	-5.052413	-5.052413	-13.673378	-13.673378	5.052413	5.052413	10.405241	10.405241	8.810483	8.810483	
48	-10.382683	-10.382683	-4.826834	-4.826834	-13.357568	-13.357568	4.826834	4.826834	10.382683	10.382683	8.765367	8.765367	
49	-10.359895	-10.359895	-4.598950	-4.598950	-13.038531	-13.038531	4.598950	4.598950	10.359895	10.359895	8.719790	8.719790	
50	-10.336890	-10.336890	-4.368899	-4.368899	-12.716458	-12.716458	4.368899	4.368899	10.336890	10.336890	8.673780	8.673780	
51	-10.313682	-10.313682	-4.136817	-4.136817	-12.391544	-12.391544	4.136817	4.136817	10.313682	10.313682	8.627363	8.627363	
