#    itr              mu            ntot            mtot            etot
       1      -21.000000        3.000000        3.000000     -160.930000
       2       -2.859000        0.499084       -0.499084       -2.851003
       3       -8.352000        0.499023        0.296753       -5.759358
       4       -7.595000        0.499023       -0.252319       -5.466517
       5       -7.424000        0.499268        0.243774       -5.409582
       6       -7.378000        0.499268       -0.242798       -5.397465
       7       -7.379000        0.499756        0.241333       -5.399924
       8       -7.377000        0.499268       -0.240845       -5.392858
       9       -7.378000        0.499268        0.240845       -5.393881
      10       -7.378000        0.499268       -0.240845       -5.393881
