#    itr              mu            ntot            mtot            etot
       1      -20.487000        1.099182        1.099182      -28.568742
       2       -5.435000        1.099121       -0.549927      -10.114912
       3       -5.643000        1.099121        0.302368       -9.697072
       4       -5.751000        1.099609       -0.170044       -9.597945
       5       -5.809000        1.099487        0.094971       -9.566004
       6       -5.817000        1.099487       -0.053467       -9.556817
       7       -5.823000        1.099487        0.030029       -9.553919
       8       -5.833000        1.099487       -0.015381       -9.552980
       9       -5.831000        1.099243        0.008789       -9.551208
      10       -5.831000        1.099243       -0.006836       -9.551791
      11       -5.833000        1.099487        0.005615       -9.553194
      12       -5.834000        1.099487       -0.005615       -9.552512
      13       -5.834000        1.099487        0.005615       -9.552512
