#    itr              mu            ntot            mtot            etot
       1       -4.419434        2.399963        1.197662      -35.039438
       2        4.990748        2.399689       -0.700982       -7.765780
       3        4.894902        2.399719        0.365997       -4.624943
       4        4.868627        2.399445       -0.188638       -3.491966
       5        4.896231        2.399933        0.094803       -3.175444
       6        4.908338        2.399658       -0.047699       -3.089355
       7        4.893056        2.400085        0.025360       -3.068046
       8        4.896735        2.400269       -0.013062       -3.059207
       9        4.901362        2.400726        0.006943       -3.054299
      10        4.907182        2.399078       -0.003891       -3.058730
      11        4.899240        2.400452        0.002197       -3.063467
      12        4.904512        2.400543       -0.001236       -3.053377
      13        4.911144        2.400482        0.001205       -3.052861
