#    itr              mu            ntot            mtot            etot
       1        1.853000        2.899048        2.899048      -25.928714
       2        7.412000        2.899536       -0.987305       -1.652603
       3        7.903000        2.899292        0.319580        0.527921
       4        7.934000        2.899292       -0.101807        0.780966
       5        7.955000        2.899292        0.032471        0.807933
       6        7.955000        2.899292       -0.009521        0.810189
       7        7.960000        2.899048        0.002930        0.809008
       8        7.951000        2.899048       -0.000977        0.807123
       9        7.952000        2.899048        0.000000        0.807287
      10        7.951000        2.899048        0.000000        0.807207
      11        7.951000        2.899048        0.000000        0.807207
