# n = 5.2 U  = 19.0 J = 4.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       95.194000        5.199158        0.400421      416.079273
       2       91.092000        5.199036        0.372528      419.416372
       3       91.072000        5.199524        0.355438      419.550660
       4       91.071000        5.199036        0.343719      419.604606
       5       91.062000        5.199524        0.335175      419.647379
       6       91.069000        5.199280        0.330414      419.693098
       7       91.060000        5.199036        0.327362      419.665962
       8       91.061000        5.199036        0.325409      419.655483
       9       91.064000        5.199768        0.324554      419.728530
      10       91.072000        5.199036        0.323456      419.724837
      11       91.057000        5.200256        0.322601      419.779138
      12       91.076000        5.199768        0.322357      419.837644
      13       91.069000        5.199768        0.322357      419.798242
      14       91.069000        5.199768        0.322357      419.798242
