#    itr              mu            ntot            mtot            etot
       1      -12.032959        2.100311        1.050234      -45.526658
       2        5.027362        2.099976       -0.850044       -8.730403
       3        4.861152        2.099701        0.656509       -6.447106
       4        4.449374        2.099640       -0.466543       -4.768033
       5        4.123080        2.099487        0.328247       -3.604197
       6        4.111242        2.100220       -0.223633       -3.000514
       7        4.095659        2.100464        0.149780       -2.687625
       8        4.069098        2.099701       -0.099838       -2.543499
       9        4.064158        2.100342        0.065735       -2.481624
      10        4.069584        2.100952       -0.044312       -2.444614
      11        4.076792        2.099731        0.028809       -2.432446
      12        4.026270        2.099243       -0.019531       -2.437574
      13        4.042908        2.100708        0.013672       -2.433344
      14        4.053249        2.099243       -0.008545       -2.426832
      15        4.055096        2.100708        0.005859       -2.431935
      16        4.063516        2.100464       -0.004273       -2.419524
      17        4.056766        2.100952        0.003296       -2.421135
      18        4.059767        2.100708       -0.002930       -2.418198
