#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
310	3.803783	3.806071	9.825931	9.828219	7.735870	7.736785	
311	3.505805	3.508094	9.598571	9.600860	7.420011	7.420926	
312	3.209861	3.212150	9.366275	9.368564	7.095507	7.096422	
313	2.916185	2.918474	9.129126	9.131415	6.762446	6.763361	
314	2.625005	2.627294	8.887214	8.889503	6.420932	6.421847	
315	2.336542	2.338831	8.640642	8.642931	6.071088	6.072003	
316	2.051007	2.053295	8.389520	8.391808	5.713053	5.713969	
317	1.768602	1.770891	8.133967	8.136256	5.346986	5.347901	
318	1.489523	1.491812	7.874115	7.876403	4.973060	4.973976	
319	1.213955	1.216244	7.610101	7.612390	4.591469	4.592385	
320	0.942075	0.944363	7.342075	7.344363	4.202423	4.203339	
321	0.674048	0.676337	7.070194	7.072483	3.806150	3.807065	
322	0.410035	0.412323	6.794626	6.796915	3.402894	3.403810	
323	0.150182	0.152471	6.515547	6.517836	2.992920	2.993835	
324	-0.105370	-0.103082	6.233142	6.235431	2.576505	2.577420	
325	-0.356493	-0.354204	5.947607	5.949896	2.153946	2.154862	
326	-0.603065	-0.600776	5.659144	5.661433	1.725557	1.726472	
327	-0.844977	-0.842688	5.367964	5.370253	1.291665	1.292581	
328	-1.082126	-1.079837	5.074288	5.076577	0.852617	0.853532	
329	-1.314422	-1.312133	4.778344	4.780633	0.408771	0.409687	
330	-1.541781	-1.539493	4.480367	4.482655	-0.039496	-0.038580	
331	-1.764132	-1.761843	4.180600	4.182889	-0.491795	-0.490880	
332	-1.981408	-1.979119	3.879295	3.881583	-0.947723	-0.946807	
333	-2.193557	-2.191268	3.576707	3.578996	-1.406862	-1.405947	
334	-2.400531	-2.398242	3.273103	3.275392	-1.868783	-1.867868	
335	-2.602293	-2.600004	2.968751	2.971040	-2.333044	-2.332129	
336	-2.798814	-2.796525	2.663928	2.666216	-2.799191	-2.798276	
337	-2.990074	-2.987785	2.358914	2.361203	-3.266761	-3.265846	
338	-3.176061	-3.173772	2.053998	2.056287	-3.735279	-3.734363	
339	-3.356769	-3.354480	1.749469	1.751758	-4.204260	-4.203345	
340	-3.532202	-3.529913	1.445623	1.447912	-4.673214	-4.672298	
341	-3.702370	-3.700081	1.142759	1.145048	-5.141640	-5.140724	
342	-3.867290	-3.865002	0.841179	0.843468	-5.609031	-5.608115	
343	-4.026987	-4.024699	0.541189	0.543478	-6.074874	-6.073958	
344	-4.181491	-4.179203	0.243096	0.245384	-6.538650	-6.537735	
345	-4.330839	-4.328550	-0.052792	-0.050503	-6.999838	-6.998923	
346	-4.475073	-4.472784	-0.346162	-0.343873	-7.457912	-7.456996	
347	-4.614241	-4.611952	-0.636705	-0.634416	-7.912342	-7.911426	
