#    itr              mu            ntot            mtot            etot
       1      -20.775000        1.699158        1.699158      -50.178629
       2        2.168000        1.699097       -1.078613       -7.532694
       3        1.505000        1.699097        0.640381       -5.959128
       4        1.218000        1.699341       -0.371094       -5.310958
       5        1.122000        1.699341        0.211914       -5.079293
       6        1.091000        1.699341       -0.119141       -5.001060
       7        1.074000        1.699341        0.065918       -4.975379
       8        1.094000        1.699341       -0.037598       -4.967351
       9        1.096000        1.699341        0.023926       -4.964524
      10        1.081000        1.699341       -0.015137       -4.963860
      11        1.071000        1.699097        0.011475       -4.963711
      12        1.069000        1.699097       -0.009521       -4.965384
      13        1.068000        1.699097        0.008545       -4.965412
      14        1.067000        1.699097       -0.007568       -4.965310
      15        1.065000        1.699097        0.007568       -4.965289
      16        1.065000        1.699097       -0.007568       -4.965289
