# n = 5.3 U  = 16.0 J = 4.000 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       83.260000        5.299255        0.350372      364.427152
       2       79.675000        5.299133        0.294159      367.077617
       3       79.667000        5.299316        0.258362      367.217449
       4       79.672000        5.299561        0.230408      367.319811
       5       79.686000        5.299316        0.209534      367.367341
       6       79.686000        5.299072        0.191345      367.364223
       7       79.684000        5.299561        0.178406      367.412754
       8       79.693000        5.299561        0.167175      367.464963
       9       79.693000        5.300049        0.158875      367.518418
      10       79.695000        5.300049        0.150818      367.562960
      11       79.701000        5.299805        0.144348      367.553823
      12       79.705000        5.299316        0.139709      367.504095
      13       79.700000        5.299805        0.136536      367.514256
      14       79.701000        5.299316        0.133850      367.512931
      15       79.691000        5.299561        0.129333      367.500202
      16       79.692000        5.299316        0.124573      367.503464
      17       79.692000        5.299805        0.122131      367.529897
      18       79.697000        5.299805        0.121155      367.566349
      19       79.699000        5.300293        0.119934      367.606175
      20       79.707000        5.300049        0.118835      367.622190
      21       79.705000        5.300049        0.117371      367.606193
      22       79.701000        5.299316        0.116272      367.548841
      23       79.692000        5.299316        0.114807      367.498445
      24       79.696000        5.299316        0.114319      367.499661
      25       79.697000        5.299316        0.113831      367.500135
      26       79.697000        5.299316        0.113831      367.500608
      27       79.697000        5.299316        0.113831      367.500608
