#    itr              mu            ntot            mtot            etot
       1      -15.360352        1.400391        0.699738      -31.809342
       2       -3.051589        1.399994       -0.418808      -11.595135
       3       -3.481834        1.399902        0.258850      -10.632553
       4       -3.781548        1.399048       -0.153809      -10.289962
       5       -3.866330        1.400024        0.090332      -10.163280
       6       -3.906370        1.400024       -0.053223      -10.112395
       7       -3.928929        1.399292        0.031616      -10.093456
       8       -3.927740        1.400757       -0.018921      -10.096162
       9       -3.926793        1.399292        0.010132      -10.083161
      10       -3.926038        1.399445       -0.005325      -10.088183
      11       -3.925437        1.400024        0.002686      -10.089722
      12       -3.924957        1.400024       -0.001709      -10.087674
      13       -3.924575        1.400024        0.001221      -10.087660
