#    itr              mu            ntot            mtot            etot
       1      -11.369000        2.199036        2.199036      -46.456680
       2        5.363000        2.199951       -1.123657       -4.270065
       3        5.064000        2.199585        0.528564       -1.951790
       4        5.001000        2.199585       -0.241943       -1.345156
       5        4.993000        2.199097        0.112061       -1.212177
       6        5.003000        2.199341       -0.050781       -1.187136
       7        4.981000        2.199097        0.025146       -1.179838
       8        4.981000        2.199341       -0.012207       -1.179526
       9        4.985000        2.199341        0.005371       -1.177198
      10        4.991000        2.199829       -0.001953       -1.174590
      11        4.994000        2.199341        0.000488       -1.172953
      12        4.996000        2.199341       -0.000488       -1.177121
      13        4.996000        2.199341        0.000488       -1.177121
