#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
45	-8.143780	-8.179924	-3.190282	-3.226427	-11.981021	-12.012874	7.801946	7.765802	12.755444	12.719299	11.212760	11.180908	
46	-8.121724	-8.157868	-2.969720	-3.005864	-11.672234	-11.704087	7.581384	7.545240	12.733387	12.697243	11.168648	11.136795	
47	-8.099410	-8.135554	-2.746582	-2.782726	-11.359841	-11.391694	7.358246	7.322102	12.711074	12.674929	11.124020	11.092168	
48	-8.076852	-8.112996	-2.521003	-2.557148	-11.044031	-11.075883	7.132667	7.096523	12.688516	12.652372	11.078905	11.047052	
49	-8.054064	-8.090208	-2.293120	-2.329264	-10.724993	-10.756846	6.904783	6.868639	12.665727	12.629583	11.033328	11.001475	
50	-8.031058	-8.067203	-2.063068	-2.099212	-10.402920	-10.434773	6.674732	6.638587	12.642722	12.606578	10.987317	10.955465	
51	-8.007850	-8.043995	-1.830987	-1.867131	-10.078007	-10.109860	6.442650	6.406506	12.619514	12.583370	10.940901	10.909048	
52	-7.984453	-8.020598	-1.597016	-1.633160	-9.750448	-9.782301	6.208680	6.172536	12.596117	12.559973	10.894107	10.862254	
53	-7.960881	-7.997026	-1.361297	-1.397441	-9.420441	-9.452294	5.972961	5.936817	12.572545	12.536401	10.846963	10.815111	
54	-7.937149	-7.973293	-1.123971	-1.160116	-9.088185	-9.120038	5.735635	5.699491	12.548813	12.512668	10.799498	10.767645	
55	-7.913270	-7.949414	-0.885182	-0.921326	-8.753880	-8.785733	5.496846	5.460702	12.524934	12.488789	10.751740	10.719887	
56	-7.889259	-7.925403	-0.645073	-0.681217	-8.417727	-8.449580	5.256737	5.220593	12.500923	12.464778	10.703718	10.671866	
57	-7.865130	-7.901275	-0.403789	-0.439933	-8.079929	-8.111782	5.015453	4.979308	12.476794	12.440650	10.655462	10.623609	
58	-7.840899	-7.877043	-0.161475	-0.197619	-7.740689	-7.772542	4.773139	4.736994	12.452563	12.416419	10.606999	10.575146	
59	-7.816579	-7.852724	0.081723	0.045579	-7.400212	-7.432065	4.529941	4.493797	12.428243	12.392099	10.558359	10.526506	
60	-7.792186	-7.828330	0.325658	0.289514	-7.058703	-7.090555	4.286006	4.249862	12.403850	12.367705	10.509572	10.477719	
61	-7.767733	-7.803877	0.570183	0.534039	-6.716366	-6.748219	4.041480	4.005336	12.379397	12.343253	10.460667	10.428814	
62	-7.743236	-7.779381	0.815152	0.779008	-6.373410	-6.405263	3.796512	3.760368	12.354900	12.318756	10.411673	10.379820	
63	-7.718710	-7.754854	1.060416	1.024271	-6.030040	-6.061892	3.551248	3.515104	12.330374	12.294229	10.362620	10.330767	
64	-7.694169	-7.730313	1.305827	1.269683	-5.686463	-5.718315	3.305837	3.269693	12.305832	12.269688	10.313538	10.281685	
65	-7.669627	-7.705772	1.551238	1.515093	-5.342885	-5.374738	3.060426	3.024282	12.281291	12.245147	10.264455	10.232603	
66	-7.645101	-7.681245	1.796499	1.760355	-4.999515	-5.031368	2.815165	2.779021	12.256765	12.220620	10.215402	10.183550	
67	-7.620604	-7.656748	2.041459	2.005315	-4.656559	-4.688411	2.570205	2.534061	12.232268	12.196124	10.166409	10.134556	
68	-7.596151	-7.632296	2.285757	2.249613	-4.314223	-4.346075	2.325906	2.289762	12.207815	12.171671	10.117503	10.085651	
69	-7.571758	-7.607902	2.529961	2.493816	-3.972713	-4.004566	2.081703	2.045559	12.183422	12.147277	10.068716	10.036864	
70	-7.547438	-7.583582	2.773147	2.737003	-3.632236	-3.664089	1.838517	1.802372	12.159102	12.122958	10.020077	9.988224	
71	-7.523207	-7.559351	3.015458	2.979313	-3.292996	-3.324849	1.596206	1.560062	12.134871	12.098726	9.971614	9.939761	
72	-7.499078	-7.535223	3.256740	3.220596	-2.955198	-2.987051	1.354924	1.318779	12.110742	12.074598	9.923357	9.891504	
73	-7.475067	-7.511212	3.496848	3.460704	-2.619045	-2.650898	1.114815	1.078671	12.086731	12.050587	9.875335	9.843483	
74	-7.451188	-7.487333	3.735637	3.699493	-2.284740	-2.316593	0.876027	0.839882	12.062852	12.026708	9.827577	9.795725	
75	-7.427456	-7.463600	3.972962	3.936818	-1.952484	-1.984337	0.638701	0.602557	12.039120	12.002975	9.780112	9.748260	
76	-7.403884	-7.440028	4.208681	4.172537	-1.622477	-1.654330	0.402983	0.366838	12.015548	11.979403	9.732968	9.701116	
77	-7.380487	-7.416631	4.442652	4.406507	-1.294918	-1.326771	0.169012	0.132868	11.992151	11.956006	9.686174	9.654322	
78	-7.357279	-7.393423	4.674733	4.638588	-0.970005	-1.001857	-0.063069	-0.099213	11.968943	11.932798	9.639758	9.607905	
79	-7.334274	-7.370418	4.904784	4.868640	-0.647932	-0.679785	-0.293120	-0.329265	11.945937	11.909793	9.593748	9.561895	
80	-7.311485	-7.347629	5.132668	5.096524	-0.328895	-0.360747	-0.521004	-0.557148	11.923149	11.887005	9.548171	9.516318	
81	-7.288927	-7.325072	5.358247	5.322102	-0.013084	-0.044937	-0.746583	-0.782727	11.900591	11.864447	9.503055	9.471202	
82	-7.266614	-7.302758	5.581384	5.545240	0.299309	0.267456	-0.969721	-1.005865	11.878277	11.842133	9.458428	9.426575	
83	-7.244557	-7.280702	5.801947	5.765802	0.608096	0.576243	-1.190283	-1.226427	11.856221	11.820077	9.414315	9.382462	
84	-7.222772	-7.258916	6.019801	5.983656	0.913092	0.881239	-1.408137	-1.444281	11.834436	11.798291	9.370744	9.338892	
85	-7.201270	-7.237415	6.234815	6.198671	1.214112	1.182259	-1.623151	-1.659296	11.812934	11.776790	9.327742	9.295889	
86	-7.180066	-7.216210	6.446861	6.410716	1.510976	1.479123	-1.835197	-1.871341	11.791730	11.755585	9.285332	9.253480	
87	-7.159171	-7.195315	6.655809	6.619665	1.803504	1.771651	-2.044145	-2.080290	11.770835	11.734691	9.243543	9.211690	
88	-7.138598	-7.174743	6.861535	6.825391	2.091521	2.059668	-2.249871	-2.286016	11.750262	11.714118	9.202397	9.170545	
