#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-10.202689	3.146443	-10.202689	3.146443	-20.887864	-8.242486	11.901450	25.250583	11.901450	25.250583	11.152879	23.798257	
1	-10.202389	3.146743	-10.199691	3.149441	-20.883651	-8.238273	11.898452	25.247585	11.901150	25.250283	11.152280	23.797658	
2	-10.201490	3.147642	-10.190700	3.158432	-20.871013	-8.225635	11.889461	25.238594	11.900251	25.249384	11.150482	23.795860	
3	-10.199992	3.149140	-10.175722	3.173411	-20.849958	-8.204580	11.874483	25.223615	11.898753	25.247886	11.147487	23.792865	
4	-10.197896	3.151236	-10.154764	3.194368	-20.820499	-8.175121	11.853525	25.202658	11.896657	25.245790	11.143297	23.788675	
5	-10.195204	3.153928	-10.127841	3.221291	-20.782654	-8.137276	11.826602	25.175735	11.893965	25.243098	11.137915	23.783293	
6	-10.191917	3.157216	-10.094969	3.254163	-20.736446	-8.091068	11.793730	25.142863	11.890678	25.239810	11.131343	23.776721	
7	-10.188036	3.161096	-10.056168	3.292964	-20.681902	-8.036524	11.754929	25.104062	11.886797	25.235930	11.123585	23.768963	
8	-10.183565	3.165568	-10.011463	3.337669	-20.619055	-7.973677	11.710224	25.059357	11.882326	25.231459	11.114647	23.760025	
9	-10.178506	3.170627	-9.960881	3.388252	-20.547944	-7.902566	11.659642	25.008774	11.877267	25.226399	11.104533	23.749911	
10	-10.172862	3.176271	-9.904453	3.444680	-20.468611	-7.823233	11.603214	24.952346	11.871623	25.220755	11.093251	23.738629	
11	-10.166636	3.182496	-9.842214	3.506919	-20.381104	-7.735726	11.540975	24.890108	11.865397	25.214530	11.080806	23.726184	
12	-10.159833	3.189299	-9.774203	3.574929	-20.285477	-7.640098	11.472964	24.822097	11.858594	25.207727	11.067207	23.712585	
