#    itr              mu            ntot            mtot            etot
       1       75.993000        4.599487        0.450073      303.578767
       2       76.145000        4.599854        0.373840      303.902077
       3       76.279000        4.599365        0.321106      304.115757
       4       76.311000        4.599121        0.275574      304.198159
       5       76.349000        4.599121        0.242615      304.292859
       6       76.344000        4.599121        0.211365      304.363153
       7       76.358000        4.599365        0.184875      304.444309
       8       76.333000        4.599243        0.159790      304.498610
       9       76.337000        4.599487        0.134521      304.548697
      10       76.328000        4.599487        0.113525      304.597992
      11       76.329000        4.599243        0.095337      304.603082
      12       76.319000        4.599243        0.078003      304.602501
      13       76.315000        4.599243        0.065308      304.615509
      14       76.320000        4.599487        0.054443      304.641757
      15       76.318000        4.599487        0.046631      304.664800
      16       76.329000        4.599487        0.038574      304.667989
      17       76.322000        4.599243        0.032104      304.652211
      18       76.327000        4.599976        0.025879      304.693791
      19       76.330000        4.599976        0.020020      304.745409
      20       76.324000        4.599243        0.015747      304.690831
      21       76.314000        4.599243        0.012329      304.640362
      22       76.314000        4.599243        0.009888      304.640801
      23       76.312000        4.599487        0.007812      304.659799
      24       76.312000        4.599487        0.006348      304.676863
      25       76.315000        4.600464        0.005127      304.751799
      26       76.329000        4.599487        0.004150      304.744439
      27       76.315000        4.599487        0.003174      304.677206
      28       76.315000        4.599487        0.002197      304.677233
      29       76.319000        4.599976        0.001953      304.714358
      30       76.326000        4.599487        0.001709      304.710893
      31       76.317000        4.599487        0.000732      304.677104
      32       76.322000        4.599976        0.000488      304.714537
      33       76.325000        4.599487        0.000244      304.710908
      34       76.318000        4.599487        0.000244      304.677273
      35       76.318000        4.599487        0.000244      304.677273
