#    itr              mu            ntot            mtot            etot
       1      113.686000        5.299133        0.700867      260.422868
       2       43.471000        5.299133       -0.700867      167.013578
       3       43.485000        5.299011        0.700989      167.015983
       4       43.488000        5.299377       -0.700623      167.026207
       5       43.489000        5.299255        0.700745      167.034391
       6       43.489000        5.299255       -0.700745      167.029851
       7       43.489000        5.299744        0.700256      167.051150
       8       43.490000        5.299255       -0.700745      167.047563
       9       43.489000        5.299744        0.700256      167.051150
      10       43.490000        5.299255       -0.700745      167.047563
      11       43.489000        5.299744        0.700256      167.051150
      12       43.490000        5.299255       -0.700745      167.047563
      13       43.489000        5.299744        0.700256      167.051150
      14       43.490000        5.299255       -0.700745      167.047563
      15       43.489000        5.299744        0.700256      167.051150
      16       43.490000        5.299255       -0.700745      167.047563
      17       43.489000        5.299744        0.700256      167.051150
      18       43.490000        5.299255       -0.700745      167.047563
      19       43.489000        5.299744        0.700256      167.051150
      20       43.490000        5.299255       -0.700745      167.047563
      21       43.489000        5.299744        0.700256      167.051150
      22       43.490000        5.299255       -0.700745      167.047563
      23       43.489000        5.299744        0.700256      167.051150
      24       43.490000        5.299255       -0.700745      167.047563
      25       43.489000        5.299744        0.700256      167.051150
      26       43.490000        5.299255       -0.700745      167.047563
      27       43.489000        5.299744        0.700256      167.051150
      28       43.490000        5.299255       -0.700745      167.047563
      29       43.489000        5.299744        0.700256      167.051150
      30       43.490000        5.299255       -0.700745      167.047563
      31       43.489000        5.299744        0.700256      167.051150
      32       43.490000        5.299255       -0.700745      167.047563
      33       43.489000        5.299744        0.700256      167.051150
      34       43.490000        5.299255       -0.700745      167.047563
      35       43.489000        5.299744        0.700256      167.051150
      36       43.490000        5.299255       -0.700745      167.047563
      37       43.489000        5.299744        0.700256      167.051150
      38       43.490000        5.299255       -0.700745      167.047563
      39       43.489000        5.299744        0.700256      167.051150
      40       43.490000        5.299255       -0.700745      167.047563
      41       43.489000        5.299744        0.700256      167.051150
      42       43.490000        5.299255       -0.700745      167.047563
      43       43.489000        5.299744        0.700256      167.051150
      44       43.490000        5.299255       -0.700745      167.047563
      45       43.489000        5.299744        0.700256      167.051150
      46       43.490000        5.299255       -0.700745      167.047563
      47       43.489000        5.299744        0.700256      167.051150
      48       43.490000        5.299255       -0.700745      167.047563
      49       43.489000        5.299744        0.700256      167.051150
      50       43.490000        5.299255       -0.700745      167.047563
      51       43.489000        5.299744        0.700256      167.051150
      52       43.490000        5.299255       -0.700745      167.047563
      53       43.489000        5.299744        0.700256      167.051150
      54       43.490000        5.299255       -0.700745      167.047563
      55       43.489000        5.299744        0.700256      167.051150
      56       43.490000        5.299255       -0.700745      167.047563
      57       43.489000        5.299744        0.700256      167.051150
      58       43.490000        5.299255       -0.700745      167.047563
      59       43.489000        5.299744        0.700256      167.051150
      60       43.490000        5.299255       -0.700745      167.047563
      61       43.489000        5.299744        0.700256      167.051150
      62       43.490000        5.299255       -0.700745      167.047563
      63       43.489000        5.299744        0.700256      167.051150
      64       43.490000        5.299255       -0.700745      167.047563
      65       43.489000        5.299744        0.700256      167.051150
      66       43.490000        5.299255       -0.700745      167.047563
      67       43.489000        5.299744        0.700256      167.051150
      68       43.490000        5.299255       -0.700745      167.047563
      69       43.489000        5.299744        0.700256      167.051150
      70       43.490000        5.299255       -0.700745      167.047563
      71       43.489000        5.299744        0.700256      167.051150
      72       43.490000        5.299255       -0.700745      167.047563
      73       43.489000        5.299744        0.700256      167.051150
      74       43.490000        5.299255       -0.700745      167.047563
      75       43.489000        5.299744        0.700256      167.051150
      76       43.490000        5.299255       -0.700745      167.047563
      77       43.489000        5.299744        0.700256      167.051150
      78       43.490000        5.299255       -0.700745      167.047563
      79       43.489000        5.299744        0.700256      167.051150
      80       43.490000        5.299255       -0.700745      167.047563
      81       43.489000        5.299744        0.700256      167.051150
      82       43.490000        5.299255       -0.700745      167.047563
      83       43.489000        5.299744        0.700256      167.051150
      84       43.490000        5.299255       -0.700745      167.047563
      85       43.489000        5.299744        0.700256      167.051150
      86       43.490000        5.299255       -0.700745      167.047563
      87       43.489000        5.299744        0.700256      167.051150
      88       43.490000        5.299255       -0.700745      167.047563
      89       43.489000        5.299744        0.700256      167.051150
      90       43.490000        5.299255       -0.700745      167.047563
      91       43.489000        5.299744        0.700256      167.051150
      92       43.490000        5.299255       -0.700745      167.047563
      93       43.489000        5.299744        0.700256      167.051150
      94       43.490000        5.299255       -0.700745      167.047563
      95       43.489000        5.299744        0.700256      167.051150
      96       43.490000        5.299255       -0.700745      167.047563
      97       43.489000        5.299744        0.700256      167.051150
      98       43.490000        5.299255       -0.700745      167.047563
      99       43.489000        5.299744        0.700256      167.051150
