#    itr              mu            ntot            mtot            etot
       1       43.373000        4.099365        0.152649      137.958911
       2       43.409000        4.099365        0.082336      138.047941
       3       43.427000        4.099121        0.050964      138.064934
       4       43.425000        4.099121        0.032898      138.064448
       5       43.429000        4.099854        0.023254      138.100202
       6       43.445000        4.099609        0.015564      138.118566
       7       43.449000        4.099243        0.011475      138.094381
       8       43.441000        4.100464        0.007935      138.134055
       9       43.453000        4.099487        0.005493      138.137645
      10       43.446000        4.099487        0.004517      138.101153
      11       43.445000        4.099243        0.003418      138.090543
      12       43.443000        4.099731        0.001709      138.102648
      13       43.445000        4.099243        0.000977      138.099779
      14       43.442000        4.099243        0.000977      138.081426
      15       43.442000        4.099243        0.000977      138.081426
