# n = 4.1 U  = 11.0 J = 2.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       42.988000        4.099121        0.416931      136.860347
       2       43.332000        4.099854        0.194397      137.843886
       3       43.399000        4.099121        0.103210      138.026622
       4       43.418000        4.099365        0.060608      138.057482
       5       43.423000        4.099365        0.038879      138.081410
       6       43.428000        4.099365        0.026672      138.086889
       7       43.434000        4.099365        0.018860      138.089174
       8       43.442000        4.099487        0.013550      138.095433
       9       43.446000        4.099731        0.009277      138.111200
      10       43.445000        4.099487        0.006470      138.110123
      11       43.444000        4.099976        0.005249      138.122297
      12       43.451000        4.100464        0.004517      138.161923
      13       43.455000        4.099731        0.003174      138.148479
      14       43.447000        4.099731        0.001709      138.120979
      15       43.445000        4.099243        0.000977      138.099779
      16       43.442000        4.099243        0.000977      138.081426
      17       43.442000        4.099243        0.000977      138.081426
