# n = 4.1 U  = 9.0 J = 2.250 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       36.317600        4.100342        0.350159      109.287033
       2       36.548657        4.100342        0.140930      110.018390
       3       36.598357        4.100098        0.065857      110.111914
       4       36.604857        4.100098        0.033875      110.125002
       5       36.613156        4.100342        0.019348      110.139250
       6       36.625583        4.100220        0.010986      110.143651
       7       36.618383        4.099976        0.006226      110.131552
       8       36.622983        4.099976        0.003784      110.124165
       9       36.619581        4.100220        0.002441      110.133237
      10       36.619617        4.100220        0.001465      110.140725
      11       36.618793        4.100220        0.000977      110.140731
      12       36.620695        4.100220        0.000488      110.140706
      13       36.620970        4.100220        0.000488      110.140736
      14       36.620970        4.100220        0.000488      110.140736
