#    itr              mu            ntot            mtot            etot
       1      -21.000000        3.000000        3.000000     -107.992500
       2       -4.126000        0.599182       -0.599182       -4.231736
       3       -8.127000        0.599976        0.362061       -6.781032
       4       -7.479000        0.599121       -0.322144       -6.485162
       5       -7.369000        0.599609        0.317261       -6.445345
       6       -7.353000        0.599609       -0.315308       -6.438521
       7       -7.349000        0.599121        0.313843       -6.432692
       8       -7.349000        0.599731       -0.313232       -6.436970
       9       -7.344000        0.599976        0.312988       -6.436537
      10       -7.342000        0.599976       -0.312988       -6.435647
      11       -7.342000        0.599976        0.312988       -6.435647
