# n = 5.9 U  = 19.0 J = 4.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1      110.627000        5.899292        0.050354      549.319425
       2      103.923000        5.899170        0.037354      549.922812
       3      103.918000        5.899658        0.027588      549.967226
       4      103.929000        5.899414        0.020142      549.990221
       5      103.922000        5.899170        0.015381      549.943636
       6      103.920000        5.899414        0.011353      549.946975
       7      103.925000        5.899414        0.007935      549.970248
       8      103.923000        5.900391        0.006470      550.072022
       9      103.941000        5.899658        0.005371      550.087150
      10      103.930000        5.899170        0.003662      549.968105
      11      103.913000        5.899658        0.002441      549.973333
      12      103.922000        5.899902        0.001831      550.044308
      13      103.929000        5.899414        0.001587      550.016362
      14      103.922000        5.899414        0.001099      549.970796
      15      103.923000        5.899902        0.000854      550.021545
      16      103.932000        5.899414        0.000610      550.016374
      17      103.924000        5.899414        0.000122      549.970804
      18      103.921000        5.899170        0.000000      549.945433
      19      103.916000        5.899170        0.000000      549.922649
      20      103.916000        5.899170        0.000000      549.922649
