#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
240	29.554436	11.171448	30.233193	11.850205	28.696765	11.001453	8.194465	-10.188523	8.873222	-9.509766	-2.177119	-19.872431	
241	29.644680	11.261692	30.242227	11.859239	28.714776	11.019464	8.185431	-10.197557	8.782978	-9.600010	-2.304489	-19.999801	
242	29.729372	11.346384	30.250704	11.867716	28.731678	11.036365	8.176954	-10.206034	8.698286	-9.684702	-2.424006	-20.119318	
243	29.808458	11.425470	30.258620	11.875632	28.747460	11.052148	8.169038	-10.213950	8.619200	-9.763788	-2.535597	-20.230910	
244	29.881890	11.498902	30.265968	11.882980	28.762114	11.066801	8.161690	-10.221298	8.545768	-9.837220	-2.639197	-20.334509	
245	29.949619	11.566631	30.272745	11.889757	28.775628	11.080316	8.154913	-10.228075	8.478039	-9.904949	-2.734740	-20.430053	
246	30.011603	11.628615	30.278946	11.895958	28.787996	11.092684	8.148712	-10.234276	8.416055	-9.966933	-2.822170	-20.517483	
247	30.067802	11.684814	30.284568	11.901580	28.799210	11.103897	8.143090	-10.239898	8.359856	-10.023132	-2.901434	-20.596747	
248	30.118182	11.735194	30.289608	11.906620	28.809262	11.113949	8.138050	-10.244938	8.309476	-10.073512	-2.972484	-20.667796	
249	30.162710	11.779722	30.294062	11.911074	28.818146	11.122833	8.133596	-10.249392	8.264948	-10.118040	-3.035276	-20.730589	
250	30.201357	11.818369	30.297927	11.914939	28.825857	11.130544	8.129731	-10.253257	8.226301	-10.156687	-3.089774	-20.785086	
251	30.234101	11.851113	30.301202	11.918214	28.832389	11.137077	8.126456	-10.256532	8.193557	-10.189431	-3.135943	-20.831255	
252	30.260919	11.877931	30.303884	11.920896	28.837740	11.142427	8.123774	-10.259214	8.166739	-10.216249	-3.173755	-20.869068	
253	30.281795	11.898807	30.305972	11.922984	28.841905	11.146592	8.121686	-10.261302	8.145863	-10.237125	-3.203189	-20.898501	
254	30.296716	11.913728	30.307464	11.924476	28.844881	11.149569	8.120194	-10.262794	8.130942	-10.252046	-3.224226	-20.919538	
255	30.305672	11.922684	30.308360	11.925372	28.846668	11.151356	8.119299	-10.263689	8.121986	-10.261002	-3.236853	-20.932165	
256	30.308658	11.925670	30.308658	11.925670	28.847264	11.151952	8.119000	-10.263988	8.119000	-10.263988	-3.241063	-20.936375	
257	30.303446	11.920458	30.307301	11.924313	28.846072	11.150760	8.120357	-10.262631	8.124212	-10.258776	-3.232644	-20.927956	
258	30.287817	11.904829	30.303226	11.920238	28.842490	11.147178	8.124432	-10.258556	8.139841	-10.243147	-3.207397	-20.902710	
259	30.261791	11.878803	30.296426	11.913438	28.836501	11.141189	8.131232	-10.251756	8.165867	-10.217121	-3.165359	-20.860672	
260	30.225401	11.842413	30.286889	11.903901	28.828077	11.132764	8.140770	-10.242218	8.202257	-10.180731	-3.106587	-20.801900	
261	30.178695	11.795707	30.274595	11.891607	28.817177	11.121864	8.153063	-10.229925	8.248963	-10.134025	-3.031163	-20.726475	
262	30.121733	11.738745	30.259524	11.876536	28.803749	11.108437	8.168134	-10.214854	8.305925	-10.077063	-2.939190	-20.634502	
263	30.054587	11.671599	30.241646	11.858658	28.787732	11.092420	8.186012	-10.196976	8.373071	-10.009917	-2.830795	-20.526108	
264	29.977345	11.594357	30.220930	11.837942	28.769053	11.073740	8.206728	-10.176260	8.450313	-9.932675	-2.706129	-20.401441	
265	29.890105	11.507117	30.197339	11.814351	28.747627	11.052314	8.230319	-10.152669	8.537553	-9.845435	-2.565361	-20.260674	
266	29.792979	11.409991	30.170831	11.787843	28.723361	11.028048	8.256827	-10.126161	8.634679	-9.748309	-2.408687	-20.104000	
267	29.686093	11.303105	30.141361	11.758373	28.696150	11.000838	8.286297	-10.096691	8.741565	-9.641423	-2.236321	-19.931633	
268	29.569581	11.186593	30.108879	11.725891	28.665882	10.970569	8.318780	-10.064208	8.858077	-9.524911	-2.048498	-19.743811	
