#    itr              mu            ntot            mtot            etot
       1       47.085000        4.399170        0.162903      163.192539
       2       47.052000        4.399048        0.084351      163.283292
       3       47.045000        4.399292        0.043213      163.321969
       4       47.048000        4.399536        0.023071      163.351045
       5       47.053000        4.400757        0.012451      163.421547
       6       47.067000        4.399048        0.006958      163.390864
       7       47.042000        4.399536        0.003540      163.344965
       8       47.048000        4.399780        0.001709      163.376178
       9       47.054000        4.400269        0.000977      163.408967
      10       47.058000        4.399780        0.000732      163.405663
      11       47.054000        4.399780        0.000732      163.385995
      12       47.054000        4.399780        0.000732      163.385995
